Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
530,Adama Traoré,es ESP,"FW,MF",Fulham,27,1996,4.2,2,11,7,63.6,2.63,1.67,0.18,0.29,16,0,0,0,1.5,1.5,0.14,+0.5,+0.5,Matches
531,Bertrand Traoré,bf BFA,"DF,FW",Aston Villa,27,1995,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
532,Boubacar Traoré,ml MLI,MF,Wolves,21,2001,9.1,0,11,1,9.1,1.21,0.11,0,0,27.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
533,Mark Travers,ie IRL,GK,Bournemouth,24,1999,4,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
534,Mike Trésor,be BEL,"FW,MF",Burnley,24,1999,4.7,0,5,0,0,1.07,0,0,,19.7,1,0,0,0.5,0.5,0.09,-0.5,-0.5,Matches
535,Kieran Trippier,eng ENG,DF,Newcastle Utd,32,1990,24.8,1,8,2,25,0.32,0.08,0.13,0.5,23.8,4,0,0,0.7,0.7,0.08,+0.3,+0.3,Matches
536,Leandro Trossard,be BEL,"FW,MF",Arsenal,28,1994,18.3,12,60,22,36.7,3.27,1.2,0.2,0.55,16.1,0,0,0,7.9,7.9,0.13,+4.1,+4.1,Matches
537,Auston Trusty,us USA,DF,Sheffield Utd,24,1998,28.6,0,8,2,25,0.28,0.07,0,0,13,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
538,Kostas Tsimikas,gr GRE,DF,Liverpool,27,1996,7.5,0,3,0,0,0.4,0,0,,23.8,0,0,0,0.1,0.1,0.03,-0.1,-0.1,Matches
539,Matt Turner,us USA,GK,Nott'ham Forest,29,1994,17,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
540,Destiny Udogie,it ITA,DF,Tottenham,20,2002,26.6,2,9,5,55.6,0.34,0.19,0.22,0.4,10.1,0,0,0,2.4,2.4,0.27,-0.4,-0.4,Matches
541,Lesley Ugochukwu,fr FRA,MF,Chelsea,19,2004,3.3,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
542,Enes Ünal,tr TUR,"FW,MF",Bournemouth,26,1997,3.6,2,23,8,34.8,6.31,2.2,0.09,0.25,12.5,2,0,0,2.9,2.9,0.13,-0.9,-0.9,Matches
543,Virgil van Dijk,nl NED,DF,Liverpool,32,1991,35.3,2,45,14,31.1,1.27,0.4,0.04,0.14,12.6,1,0,0,2.8,2.8,0.06,-0.8,-0.8,Matches
544,Raphaël Varane,fr FRA,DF,Manchester Utd,30,1993,15.3,1,8,2,25,0.52,0.13,0.13,0.5,9.2,0,0,0,1.3,1.3,0.16,-0.3,-0.3,Matches
545,Alejo Véliz,ar ARG,FW,Tottenham,19,2003,0.6,1,2,1,50,3.6,1.8,0.5,1,8.9,0,0,0,0.2,0.2,0.12,+0.8,+0.8,Matches
546,Joël Veltman,nl NED,DF,Brighton,31,1992,17.6,1,5,3,60,0.28,0.17,0.2,0.33,14.2,0,0,0,0.4,0.4,0.08,+0.6,+0.6,Matches
547,Micky van de Ven,nl NED,DF,Tottenham,22,2001,26,3,8,3,37.5,0.31,0.12,0.38,1,16,0,0,0,0.6,0.6,0.08,+2.4,+2.4,Matches
548,Bart Verbruggen,nl NED,GK,Brighton,20,2002,21,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
549,Guglielmo Vicario,it ITA,GK,Tottenham,26,1996,38,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
550,Carlos Vinícius,br BRA,FW,Fulham,28,1995,3.5,2,9,5,55.6,2.57,1.43,0.22,0.4,10.9,0,0,0,1.6,1.6,0.18,+0.4,+0.4,Matches
551,Vitinho,br BRA,"DF,MF",Burnley,24,1999,25.7,0,25,4,16,0.97,0.16,0,0,18,0,0,0,1.6,1.6,0.06,-1.6,-1.6,Matches
552,Odisseas Vlachodimos,gr GRE,GK,Nott'ham Forest,29,1994,5,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
553,Kyle Walker,eng ENG,DF,Manchester City,33,1990,30.7,0,16,3,18.8,0.52,0.1,0,0,29.4,1,0,0,0.4,0.4,0.02,-0.4,-0.4,Matches
554,Aaron Wan-Bissaka,eng ENG,DF,Manchester Utd,25,1997,19.8,0,3,1,33.3,0.15,0.05,0,0,20.2,0,0,0,0.1,0.1,0.04,-0.1,-0.1,Matches
555,Joel Ward,eng ENG,DF,Crystal Palace,33,1989,22,0,10,0,0,0.45,0,0,,18,0,0,0,0.9,0.9,0.09,-0.9,-0.9,Matches
556,Lewis Warrington,eng ENG,FW,Everton,20,2002,0,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
557,Deivid Washington,br BRA,"DF,FW",Chelsea,18,2005,0.1,0,1,0,0,6.92,0,0,,9,0,0,0,0.5,0.5,0.47,-0.5,-0.5,Matches
558,Ollie Watkins,eng ENG,FW,Aston Villa,27,1995,35.7,19,107,47,43.9,2.99,1.31,0.18,0.4,12.8,0,0,0,16.8,16.8,0.16,+2.2,+2.2,Matches
559,Adam Webster,eng ENG,DF,Brighton,28,1995,12.7,0,8,0,0,0.63,0,0,,9.9,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
560,Danny Welbeck,eng ENG,"FW,MF",Brighton,32,1990,18.8,5,41,16,39,2.18,0.85,0.12,0.31,14.5,1,0,0,5.3,5.3,0.13,-0.3,-0.3,Matches
561,Timo Werner,de GER,FW,Tottenham,27,1996,9,2,29,7,24.1,3.23,0.78,0.07,0.29,14.1,0,0,0,3.7,3.7,0.13,-1.7,-1.7,Matches
562,Adam Wharton,eng ENG,MF,Crystal Palace,19,2004,14.4,0,10,1,10,0.69,0.07,0,0,24.2,0,0,0,0.3,0.3,0.03,-0.3,-0.3,Matches
563,Ethan Wheatley,eng ENG,FW,Manchester Utd,17,2006,0.2,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
564,Ben White,eng ENG,DF,Arsenal,25,1997,33.2,4,13,6,46.2,0.39,0.18,0.31,0.67,13.2,0,0,0,1.2,1.2,0.09,+2.8,+2.8,Matches
565,Joe White,eng ENG,MF,Newcastle Utd,20,2002,0.1,0,0,0,,0,0,,,,0,0,0,0,0,,0,0,Matches
566,Neco Williams,wls WAL,DF,Nott'ham Forest,22,2001,18.2,0,15,4,26.7,0.82,0.22,0,0,18.9,0,0,0,0.8,0.8,0.05,-0.8,-0.8,Matches
567,Joe Willock,eng ENG,MF,Newcastle Utd,23,1999,4.7,1,7,3,42.9,1.5,0.64,0.14,0.33,10.9,0,0,0,0.8,0.8,0.12,+0.2,+0.2,Matches
568,Harry Wilson,wls WAL,FW,Fulham,26,1997,18,4,40,13,32.5,2.22,0.72,0.1,0.31,19.1,3,0,0,3.4,3.4,0.08,+0.6,+0.6,Matches
569,Yoane Wissa,cd COD,FW,Brentford,26,1996,27.7,12,67,24,35.8,2.42,0.87,0.18,0.5,12.9,0,0,0,10.6,10.6,0.16,+1.4,+1.4,Matches
570,Chris Wood,nz NZL,FW,Nott'ham Forest,31,1991,20.1,14,48,26,54.2,2.38,1.29,0.29,0.54,10.2,0,0,0,11.9,11.9,0.25,+2.1,+2.1,Matches
571,Cauley Woodrow,eng ENG,"FW,MF",Luton Town,28,1994,4.7,1,16,4,25,3.37,0.84,0.06,0.25,18.7,1,0,0,1.4,1.4,0.09,-0.4,-0.4,Matches
572,Joe Worrall,eng ENG,DF,Nott'ham Forest,26,1997,4.9,0,2,0,0,0.41,0,0,,10.6,0,0,0,0.1,0.1,0.06,-0.1,-0.1,Matches
573,Yehor Yarmoliuk,ua UKR,MF,Brentford,19,2004,7.6,0,11,5,45.5,1.44,0.65,0,0,18.9,0,0,0,1,1,0.09,-1,-1,Matches
574,Ryan Yates,eng ENG,MF,Nott'ham Forest,25,1997,22.1,1,32,7,21.9,1.45,0.32,0.03,0.14,18.2,0,0,0,2.6,2.6,0.08,-1.6,-1.6,Matches
575,Ashley Young,eng ENG,"DF,MF",Everton,38,1985,25.3,0,13,2,15.4,0.51,0.08,0,0,21.9,3,0,0,0.6,0.6,0.05,-0.6,-0.6,Matches
576,Illia Zabarnyi,ua UKR,DF,Bournemouth,20,2002,37,1,8,2,25,0.22,0.05,0.13,0.5,7.5,0,0,0,1.1,1.1,0.14,-0.1,-0.1,Matches
577,Nicolò Zaniolo,it ITA,"FW,MF",Aston Villa,24,1999,9.3,2,27,10,37,2.9,1.07,0.07,0.2,14,0,0,0,2.6,2.6,0.09,-0.6,-0.6,Matches
578,Anass Zaroury,ma MAR,"FW,MF",Burnley,22,2000,1.7,0,3,1,33.3,1.78,0.59,0,0,20.9,0,0,0,0.2,0.2,0.06,-0.2,-0.2,Matches
579,Oleksandr Zinchenko,ua UKR,DF,Arsenal,26,1996,19.1,1,17,3,17.6,0.89,0.16,0.06,0.33,24,0,0,0,0.6,0.6,0.03,+0.4,+0.4,Matches
580,Kurt Zouma,fr FRA,DF,West Ham,28,1994,31.5,3,16,7,43.8,0.51,0.22,0.19,0.43,9.1,0,0,0,1.8,1.8,0.12,+1.2,+1.2,Matches
