J.Ayew	(M)	CRY	£5.4	25 (1)	2069	39	16	25	6	3.5	4	21%	33%	5.9	10	23	6	2.39	6	79.27	267	3	88
Johnson	(M)	TOT	£5.8	23 (7)	1352	32	14	27	9	4.82	3	18%	22%	6.7	10	24	6	1.9	7	79.19	251	5	80
Andreas	(M)	FUL	£5.3	27 (3)	1886	34	9	10	2	1.84	1	16%	21%	5.5	8	59	5	3.69	7	79	299	3	83
Areola	(G)	WHU	£4.2	24 (0)	2114	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	78.75	475	11	99
Ogbene	(F)	LUT	£4.9	25 (9)	1635	29	12	22	3	3.45	3	20%	14%	6.7	5	24	5	3.2	2	78.65	323	7	66
McTominay	(M)	MUN	£4.6	24 (11)	1376	35	17	26	9	5.33	7	16%	22%	5.6	8	7	2	0.3	1	78.58	281	5	85
A.Becker	(G)	LIV	£5.8	21 (0)	1890	0	0	0	0	0	0	0%	0%	0.0	0	1	0	0	0	78.39	443	9	87
Neto	(G)	BOU	£4.6	24 (0)	2160	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0.01	0	77.65	465	12	90
Gallagher	(M)	CHE	£5.4	25 (0)	2096	32	12	14	3	2.3	2	11%	16%	5.0	7	35	6	2.66	5	76.82	386	7	77
Akanji	(D)	MCI	£4.9	19 (1)	1587	10	4	5	1	0.88	2	5%	5%	2.0	2	6	0	1.09	0	76.66	348	6	69
Konsa	(D)	AVL	£4.5	24 (0)	2089	11	3	9	3	1.87	0	6%	2%	2.6	1	6	1	0.78	1	76.23	391	4	60
Sarabia	(M)	WOL	£4.7	20 (6)	1186	35	12	22	5	3.7	3	25%	30%	7.7	9	40	7	4.04	6	75.71	287	6	77
José Sá	(G)	WOL	£5	25 (0)	2138	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0	0	75.59	408	5	74
Janelt	(M)	BRE	£5.3	27 (1)	2161	14	5	9	2	1.33	0	8%	8%	3.7	3	25	4	2.33	3	75.44	303	1	62
Gomez	(D)	LIV	£4.6	23 (10)	1357	13	1	8	0	0.75	0	2%	2%	1.4	1	18	1	0.6	1	74.98	297	2	63
Colwill	(D)	CHE	£4.7	23 (3)	1798	11	3	10	0	1.29	1	4%	5%	1.8	2	7	3	0.53	1	74.96	355	4	65
Foderingham	(G)	SHU	£4.5	25 (1)	2198	0	0	0	0	0	0	0%	0%	0.1	0	0	0	0.05	0	74.4	429	7	58
Longstaff	(M)	NEW	£4.8	24 (5)	1805	24	10	17	6	3.69	4	12%	13%	5.7	7	15	3	1.99	3	74.06	299	1	75
Harrison	(M)	EVE	£5.5	21 (2)	1674	23	8	13	4	3.28	3	16%	25%	5.4	6	21	5	2.11	3	74.03	235	5	76
Christie	(M)	BOU	£5	26 (1)	2036	25	11	11	0	1.21	0	12%	6%	4.7	2	29	7	3.48	2	74	267	3	57
Burn	(D)	NEW	£4.4	22 (1)	1763	15	5	15	4	2.61	2	8%	8%	3.6	4	8	3	0.98	2	73.7	343	4	73
Iwobi	(M)	FUL	£5.3	21 (5)	1455	40	14	22	5	4.01	4	22%	17%	6.1	5	28	2	2.11	1	73.67	266	6	67
Van Hecke	(D)	BHA	£4.1	22 (2)	1828	13	6	13	2	1.33	0	6%	0%	2.1	0	8	0	0.82	0	73.53	355	3	46
Mario Jr.	(M)	WOL	£4.9	24 (0)	2095	35	13	22	4	3.84	4	14%	12%	4.5	4	11	0	0.64	0	73.38	365	10	71
Pinnock	(D)	BRE	£4.5	23 (0)	2070	15	3	15	4	1.64	1	6%	3%	2.5	1	4	1	0.81	0	73.3	396	5	59
Kiwior	(D)	ARS	£4.3	15 (7)	708	6	3	4	3	0.74	1	3%	8%	1.2	4	4	1	0.5	3	73.28	200	1	51
Eze	(M)	CRY	£6	17 (3)	1229	49	20	23	6	5.05	6	37%	35%	7.7	8	33	3	2.62	2	73.22	268	5	73
Maupay	(F)	BRE	£4.9	24 (11)	1291	39	20	34	11	6.45	6	23%	30%	8.4	9	14	5	1.91	3	73.07	247	6	71
Digne	(D)	AVL	£4.6	22 (4)	1580	14	4	6	1	0.71	1	8%	8%	3.5	4	29	2	2.76	3	72.92	308	2	66
Amdouni	(F)	BUR	£5.3	26 (1)	1780	38	19	25	8	4.04	4	21%	21%	5.2	5	15	2	1.17	1	71.8	208	9	71
Disasi	(D)	CHE	£4.9	24 (0)	2137	12	4	11	2	1.26	2	6%	5%	2.6	2	2	0	1.38	0	71.42	396	6	65
Mykolenko	(D)	EVE	£4.6	22 (0)	1978	22	5	11	2	1.43	2	7%	12%	2.3	3	10	2	0.84	1	70.88	371	7	84
Kaminski	(G)	LUT	£4.5	26 (0)	2340	0	0	0	0	0	0	0%	0%	0.0	0	0	0	0.02	0	70.56	453	3	64
Gvardiol	(D)	MCI	£4.8	18 (2)	1473	18	8	9	2	1.03	0	6%	0%	2.1	0	11	1	1.12	0	70.43	280	1	44
Mitchell	(D)	CRY	£4.5	26 (0)	2259	4	2	3	2	0.49	1	6%	10%	1.8	3	12	3	1.26	2	70.42	375	6	72
L.Paquetá	(M)	WHU	£6	20 (0)	1675	25	6	20	3	3.17	2	23%	18%	6.7	7	29	8	3.54	5	70.33	271	5	67
Castagne	(D)	FUL	£4.5	24 (4)	1846	11	3	10	1	1.02	0	7%	3%	2.1	1	14	0	1.11	1	70.05	343	5	66
Kilman	(D)	WOL	£4.5	27 (0)	2430	9	6	8	3	1.64	2	7%	5%	2.5	2	11	2	0.86	0	69.94	438	3	70
Branthwaite	(D)	EVE	£4.2	24 (0)	2160	8	3	7	1	1.34	2	6%	7%	2.3	2	3	1	1	0	69.57	412	7	77
Maddison	(M)	TOT	£7.9	16 (0)	1319	37	18	20	4	3.44	3	28%	35%	7.8	12	42	8	4.39	9	69.24	318	8	83
Gakpo	(F)	LIV	£7.2	25 (13)	1146	41	16	28	9	6.12	5	12%	13%	6.9	8	13	1	0.74	3	69.07	237	6	68
Mitoma	(M)	BHA	£6.4	19 (4)	1488	34	15	31	9	3.49	3	21%	27%	7.0	10	25	6	3.56	7	68.94	252	7	74
Hamer	(M)	SHU	£4.9	25 (2)	1984	29	8	9	1	1.87	2	18%	23%	4.2	5	39	5	2.31	3	68.12	274	3	64
Robinson	(D)	FUL	£4.5	26 (0)	2292	10	4	4	2	0.55	0	9%	13%	3.1	5	26	5	2.52	5	68.02	468	5	73
Højlund	(F)	MUN	£7.1	20 (3)	1473	29	16	27	15	5.91	7	24%	33%	6.6	9	17	0	0.69	2	67.68	245	10	78
De Cordova-Reid	(M)	FUL	£5.3	24 (10)	1166	24	7	15	7	3.66	5	16%	24%	4.6	8	13	3	0.97	3	67.64	245	7	76
Barkley	(M)	LUT	£5	21 (2)	1697	47	9	15	2	2.79	3	19%	22%	5.0	7	37	6	2.16	4	67.26	357	4	69
Edouard	(F)	CRY	£5.4	21 (4)	1422	46	17	40	9	5.76	6	27%	25%	6.5	6	16	1	0.7	0	67.25	210	9	67
Roerslev	(D)	BRE	£4.4	23 (8)	1325	6	1	4	2	0.98	1	5%	8%	1.9	3	12	1	0.95	2	67.14	244	3	50
Diogo J.	(M)	LIV	£8.1	19 (6)	1053	36	17	33	7	4.41	9	14%	31%	6.1	15	20	3	1.71	6	67.12	295	5	97
Udogie	(D)	TOT	£4.9	22 (0)	1858	8	4	8	5	2.29	2	11%	10%	4.4	5	21	3	2.09	3	66.43	312	8	66
Kudus	(M)	WHU	£6.8	22 (6)	1499	39	12	19	4	2.94	6	18%	35%	5.2	12	17	3	2.29	6	66.33	322	11	95
Lerma	(M)	CRY	£4.7	22 (0)	1939	30	9	17	2	2.52	1	15%	7%	4.0	2	20	2	1.43	1	66.27	253	3	52
Brownhill	(M)	BUR	£4.7	25 (3)	1985	22	8	7	0	1.28	3	13%	17%	3.0	4	26	0	1.76	1	66.24	307	0	60
Neto	(M)	WOL	£5.8	18 (1)	1461	34	11	26	2	3.09	2	27%	50%	6.7	13	38	8	3.64	11	65.66	303	8	84
Gilmour	(M)	BHA	£4.9	25 (5)	1781	23	5	3	0	0.86	0	7%	6%	3.0	3	20	3	2.15	3	65.42	310	4	54
Wilson	(M)	FUL	£5.3	25 (12)	1321	30	10	14	1	2.37	3	15%	22%	4.6	8	17	5	2.21	5	65.14	234	3	69
Dalot	(D)	MUN	£5.2	25 (1)	2183	20	3	9	0	0.85	1	7%	8%	2.6	3	24	2	1.71	2	64.63	455	10	77
T.Silva	(D)	CHE	£5	23 (1)	1983	9	3	9	0	0.36	2	2%	5%	0.8	2	6	2	0.45	0	64.36	443	7	66
Zabarnyi	(D)	BOU	£4.4	26 (0)	2340	6	1	6	1	0.48	0	2%	0%	0.9	0	5	0	0.42	0	64.01	402	1	55
Guéhi	(D)	CRY	£4.3	22 (0)	1914	5	0	5	0	0.58	0	6%	4%	1.5	1	5	1	0.96	1	63.99	360	6	58
Ferguson	(F)	BHA	£5.8	25 (11)	1298	33	20	24	6	4.49	6	12%	15%	5.3	7	6	1	0.77	1	63.98	212	5	67
McAtee	(M)	SHU	£4.4	23 (5)	1557	22	7	14	2	2.36	3	16%	29%	3.7	6	20	3	1.35	3	63.95	200	0	64
Dawson	(D)	WOL	£4.5	25 (0)	2211	16	5	14	2	1.58	1	6%	6%	2.0	2	9	2	0.42	1	63.92	421	6	69
Mac Allister	(M)	LIV	£5.8	22 (1)	1730	20	4	3	1	1.04	2	8%	11%	4.1	6	27	2	3.1	4	63.84	329	5	64
Doherty	(D)	WOL	£4.3	20 (17)	569	5	2	4	1	0.59	1	4%	3%	1.1	1	7	1	0.52	0	62.97	109	1	30
Adingra	(M)	BHA	£5	20 (5)	1368	31	14	22	6	2.97	6	14%	19%	4.7	7	19	3	1.71	1	62.69	240	8	74
Berge	(M)	BUR	£4.7	26 (3)	2015	17	3	11	2	1.66	1	9%	8%	2.2	2	14	1	0.58	1	62.58	265	3	52
