Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
311,Saša Lukić,rs SRB,MF,Fulham,25,1996,4.6,253,9,49,155,52,3,253,5,4,80,3,1,171,5,Matches
312,Lyanco,br BRA,DF,Southampton,25,1997,13.1,720,123,368,297,64,12,720,11,8,72.7,11,4,353,4,Matches
313,Alexis Mac Allister,ar ARG,MF,Brighton,23,1998,32.1,2182,48,367,1194,644,63,2176,72,42,58.3,47,36,1644,77,Matches
314,James Maddison,eng ENG,"MF,FW",Leicester City,25,1996,27.6,1447,17,160,647,655,103,1445,107,46,43,45,31,1075,155,Matches
315,Noni Madueke,eng ENG,FW,Chelsea,20,2002,7.1,405,11,45,133,233,62,405,63,33,52.4,17,13,315,100,Matches
316,Harry Maguire,eng ENG,DF,Manchester Utd,29,1993,8.5,672,77,353,291,32,9,672,3,2,66.7,1,0,448,4,Matches
317,Riyad Mahrez,dz ALG,"FW,MF",Manchester City,31,1991,21.3,1392,14,105,494,802,110,1391,73,25,34.2,35,27,1042,242,Matches
318,Kobbie Mainoo,eng ENG,MF,Manchester Utd,17,2005,0.1,11,0,2,4,5,3,11,1,0,0,0,0,6,1,Matches
319,Ainsley Maitland-Niles,eng ENG,"DF,MF",Southampton,24,1997,15.6,912,73,328,440,155,7,912,22,17,77.3,26,13,509,35,Matches
320,Tyrell Malacia,nl NED,DF,Manchester Utd,22,1999,15.5,989,54,378,392,225,16,989,19,6,31.6,17,8,557,33,Matches
321,Orel Mangala,be BEL,MF,Nott'ham Forest,24,1998,17.2,655,31,183,380,99,8,655,34,16,47.1,11,9,383,8,Matches
322,Javier Manquillo,es ESP,DF,Newcastle Utd,28,1994,0.4,36,2,11,16,9,1,36,0,0,,0,0,20,1,Matches
323,Sekou Mara,fr FRA,"FW,MF",Southampton,20,2002,6.2,221,5,27,99,103,26,221,29,13,44.8,28,18,151,27,Matches
324,Solly March,eng ENG,"FW,DF",Brighton,28,1994,30.2,1659,46,191,521,962,138,1659,114,58,50.9,55,32,1124,357,Matches
325,Emiliano Marcondes,dk DEN,MF,Bournemouth,27,1995,0.1,3,1,1,2,0,0,3,1,0,0,0,0,2,0,Matches
326,Marquinhos,br BRA,MF,Arsenal,19,2003,0,3,0,0,2,1,0,3,0,0,,0,0,3,0,Matches
327,Anthony Martial,fr FRA,FW,Manchester Utd,26,1995,10.9,443,10,31,166,249,49,442,26,14,53.8,33,20,371,87,Matches
328,Martinelli,br BRA,FW,Arsenal,21,2001,31,1490,19,129,419,965,223,1490,132,59,44.7,83,56,1115,350,Matches
329,Emiliano Martínez,ar ARG,GK,Aston Villa,29,1992,34.9,1479,"1,218",1463,17,0,0,1479,0,0,,2,0,707,0,Matches
330,Lisandro Martínez,ar ARG,DF,Manchester Utd,24,1998,23.5,1809,281,934,829,60,11,1809,16,14,87.5,11,9,1138,2,Matches
331,Pape Matar Sarr,sn SEN,"MF,FW",Tottenham,19,2002,2.4,190,15,65,104,21,1,190,4,1,25,5,2,125,0,Matches
332,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,25,1997,8.6,266,18,37,112,119,38,266,8,3,37.5,27,18,185,43,Matches
333,Joël Matip,cm CMR,DF,Liverpool,30,1991,12.1,1004,111,482,468,62,17,1004,7,4,57.1,14,1,720,2,Matches
334,Neal Maupay,fr FRA,FW,Everton,25,1996,12.4,387,1,27,172,194,49,387,19,7,36.8,38,16,280,61,Matches
335,Kevin Mbabu,ch SUI,"DF,FW",Fulham,27,1995,1.6,114,4,38,40,38,0,114,6,4,66.7,1,2,59,11,Matches
336,Bryan Mbeumo,cm CMR,FW,Brentford,22,1999,32.3,1335,24,177,425,755,125,1334,88,45,51.1,72,54,862,235,Matches
337,James McArthur,sct SCO,MF,Crystal Palace,34,1987,0.6,60,5,22,29,9,0,60,2,1,50,1,3,40,0,Matches
