Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Mis,Dis,Rec,Prog,Matches
66,Jarrod Bowen,eng ENG,"FW,MF",West Ham,25,1996,35.9,1318,32,186,451,693,157,1316,118,36,30.5,70,55,793,213,Matches
67,James Bree,eng ENG,DF,Southampton,24,1997,4.1,213,18,71,67,75,2,213,3,2,66.7,3,2,111,12,Matches
68,Armando Broja,al ALB,FW,Chelsea,20,2001,3.3,110,2,7,41,63,16,110,15,8,53.3,15,9,71,17,Matches
69,David Brooks,wls WAL,"FW,MF",Bournemouth,25,1997,1.9,93,8,19,35,39,9,93,9,2,22.2,4,4,65,10,Matches
70,Lewis Brunt,eng ENG,DF,Leicester City,21,2000,0.3,23,1,8,12,3,0,23,0,0,,0,0,13,2,Matches
71,Emi Buendía,ar ARG,"MF,FW",Aston Villa,25,1996,26.8,1336,38,202,634,516,93,1336,59,27,45.8,63,58,955,137,Matches
72,Hugo Bueno,es ESP,DF,Wolves,19,2002,14.6,835,53,318,275,249,14,835,33,13,39.4,16,11,446,64,Matches
73,Facundo Buonanotte,ar ARG,"FW,MF",Brighton,17,2004,6.3,258,8,33,114,115,19,258,19,7,36.8,10,2,202,42,Matches
74,Dan Burn,eng ENG,DF,Newcastle Utd,30,1992,34.6,2073,158,786,940,358,62,2073,25,11,44,34,9,1116,46,Matches
75,Cafú,pt POR,MF,Nott'ham Forest,29,1993,0.1,3,1,2,1,0,0,3,0,0,,0,0,1,0,Matches
76,Moisés Caicedo,ec ECU,MF,Brighton,20,2001,34.9,2603,91,555,1520,558,28,2603,54,28,51.9,39,23,1891,61,Matches
77,Tom Cairney,sct SCO,MF,Fulham,31,1991,11,871,10,127,425,332,31,871,21,9,42.9,23,21,667,57,Matches
78,Duje Ćaleta-Car,hr CRO,DF,Southampton,25,1996,10.5,695,136,416,268,15,9,695,2,2,100,1,2,429,0,Matches
79,Dominic Calvert-Lewin,eng ENG,FW,Everton,25,1997,12.9,376,20,39,143,200,59,375,28,15,53.6,40,12,286,56,Matches
80,Chem Campbell,wls WAL,"FW,MF",Wolves,19,2002,0.8,47,1,6,19,23,5,47,4,2,50,3,6,36,10,Matches
81,João Cancelo,pt POR,DF,Manchester City,28,1994,14.2,1363,20,225,686,461,47,1363,60,30,50,18,14,1020,125,Matches
82,Thomas Cannon,ie IRL,FW,Everton,19,2002,0.3,8,0,0,2,6,4,8,1,0,0,0,0,7,2,Matches
83,Sergi Canós,es ESP,"FW,DF",Brentford,25,1997,0.9,57,1,13,25,20,2,57,6,4,66.7,0,0,36,7,Matches
84,Diego Carlos,br BRA,DF,Aston Villa,29,1993,2.3,156,11,54,94,11,4,156,0,0,,2,0,111,0,Matches
85,Fabio Carvalho,pt POR,"MF,FW",Liverpool,19,2002,3.9,193,2,31,75,91,26,193,6,2,33.3,11,15,145,26,Matches
86,Casemiro,br BRA,MF,Manchester Utd,30,1992,23.6,1758,110,531,949,293,24,1758,20,9,45,18,14,1103,34,Matches
87,Matty Cash,pl POL,DF,Aston Villa,24,1997,20.2,1215,76,423,545,258,11,1215,33,16,48.5,24,7,652,57,Matches
88,Timothy Castagne,be BEL,DF,Leicester City,26,1995,36.2,2237,158,820,920,508,52,2237,30,11,36.7,32,17,1246,149,Matches
89,Jonny Castro,es ESP,DF,Wolves,28,1994,14,1004,53,343,444,227,13,1004,32,14,43.8,16,13,600,46,Matches
90,Julio César Enciso,py PAR,"FW,MF",Brighton,18,2004,9,395,2,22,154,228,49,395,63,31,49.2,19,20,292,74,Matches
91,Nathaniel Chalobah,eng ENG,MF,Fulham,27,1994,0.1,11,4,5,3,3,1,11,0,0,,1,1,8,0,Matches
92,Trevoh Chalobah,eng ENG,DF,Chelsea,23,1999,17.9,1369,135,602,604,167,23,1369,10,8,80,6,5,973,27,Matches
93,Calum Chambers,eng ENG,"DF,MF",Aston Villa,27,1995,3.9,245,30,119,96,32,2,245,0,0,,2,1,149,2,Matches
94,Shea Charles,nir NIR,DF,Manchester City,18,2003,0.3,32,5,14,18,0,0,32,0,0,,0,1,19,0,Matches
95,Ben Chilwell,eng ENG,"DF,MF",Chelsea,25,1996,15.6,1133,23,284,426,426,36,1133,23,8,34.8,25,18,722,131,Matches
96,Ryan Christie,sct SCO,"MF,FW",Bournemouth,27,1995,20.4,940,39,187,421,350,61,940,86,37,43,49,33,592,71,Matches
97,Carney Chukwuemeka,eng ENG,"MF,FW",Chelsea,18,2003,3.9,262,5,47,106,112,17,262,11,6,54.5,11,3,184,21,Matches
98,Bobby Clark,eng ENG,MF,Liverpool,17,2005,0.1,7,0,0,0,7,1,7,1,0,0,2,0,3,2,Matches
99,Nathaniel Clyne,eng ENG,DF,Crystal Palace,31,1991,18.2,971,44,313,475,186,3,971,12,5,41.7,12,3,531,29,Matches
100,Conor Coady,eng ENG,DF,Everton,29,1993,23.3,1363,238,795,547,29,10,1363,3,0,0,6,2,984,1,Matches
101,Jack Colback,eng ENG,MF,Nott'ham Forest,32,1989,5.5,189,16,65,100,27,1,189,4,3,75,5,1,88,3,Matches
102,Séamus Coleman,ie IRL,DF,Everton,33,1988,18.4,990,81,334,416,246,21,990,36,16,44.4,30,6,481,37,Matches
103,Nathan Collins,ie IRL,DF,Wolves,21,2001,20.2,1339,208,801,500,45,13,1339,8,7,87.5,9,8,922,5,Matches
104,Levi Colwill,eng ENG,DF,Brighton,19,2003,13.6,1263,144,569,646,51,11,1263,1,1,100,7,4,921,3,Matches
105,Lewis Cook,eng ENG,MF,Bournemouth,25,1997,19.1,935,67,290,472,184,9,935,19,7,36.8,15,16,517,10,Matches
106,Steve Cook,eng ENG,DF,Nott'ham Forest,31,1991,10.6,559,100,321,220,19,10,559,1,1,100,3,2,350,0,Matches
107,Liam Cooper,sct SCO,DF,Leeds United,30,1991,15.8,970,103,499,440,37,21,970,4,1,25,9,1,501,2,Matches
108,Maxwel Cornet,ci CIV,FW,West Ham,25,1996,2.7,140,3,18,50,72,11,140,5,2,40,9,5,103,26,Matches
109,Diego Costa,es ESP,FW,Wolves,33,1988,13.8,335,19,37,140,161,59,335,10,5,50,23,26,245,60,Matches
110,Vladimír Coufal,cz CZE,DF,West Ham,29,1992,23.7,1433,104,435,580,424,21,1433,17,3,17.6,25,21,665,109,Matches
111,Philippe Coutinho,br BRA,"MF,FW",Aston Villa,30,1992,8.8,500,2,34,259,213,24,500,34,14,41.2,23,17,369,68,Matches
112,Conor Coventry,ie IRL,"MF,FW",West Ham,22,2000,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,Matches
113,Matthew Craig,sct SCO,MF,Tottenham,19,2003,0.2,10,1,3,5,2,0,10,0,0,,0,0,6,0,Matches
114,Aaron Cresswell,eng ENG,DF,West Ham,32,1989,24.8,1607,97,507,668,438,13,1607,7,2,28.6,6,6,960,82,Matches
115,Marc Cucurella,es ESP,DF,Chelsea,24,1998,18.6,1490,63,470,672,358,12,1490,14,5,35.7,14,6,906,65,Matches
116,Matheus Cunha,br BRA,FW,Wolves,23,1999,10.7,372,14,66,170,147,45,372,39,26,66.7,31,13,224,43,Matches
117,Patson Daka,zm ZAM,FW,Leicester City,23,1998,13.2,444,13,42,175,230,58,444,18,7,38.9,46,19,288,82,Matches
118,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,23.9,1673,125,580,714,390,38,1673,35,21,60,18,5,994,85,Matches
119,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,11,529,9,104,268,166,27,529,23,9,39.1,15,6,307,45,Matches
120,Danilo,br BRA,MF,Nott'ham Forest,21,2001,10.8,383,26,118,182,92,21,383,19,14,73.7,20,8,171,22,Matches
121,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,1.9,72,1,5,35,32,8,72,6,3,50,1,3,58,19,Matches
122,Josh Dasilva,eng ENG,MF,Brentford,23,1998,15.4,770,17,144,342,298,32,770,56,32,57.1,28,28,562,69,Matches
123,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,0.8,33,1,2,10,22,7,33,8,5,62.5,9,3,23,9,Matches
124,Ben Davies,wls WAL,DF,Tottenham,29,1993,25.4,1482,95,514,749,223,29,1482,15,5,33.3,11,5,1012,69,Matches
125,Tom Davies,eng ENG,MF,Everton,24,1998,6,309,13,74,183,54,15,309,6,3,50,17,4,201,13,Matches
126,Craig Dawson,eng ENG,DF,West Ham,32,1990,8,380,53,211,142,28,14,380,1,0,0,2,4,216,1,Matches
127,Craig Dawson,eng ENG,DF,Wolves,32,1990,15.7,1084,182,619,437,32,15,1084,4,3,75,5,2,748,1,Matches
128,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,26.9,1860,13,100,743,1041,100,1860,61,32,52.5,42,29,1445,245,Matches
129,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,1.2,71,1,10,30,33,3,71,10,6,60,9,5,50,11,Matches
130,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,7.7,365,21,102,219,46,7,365,5,3,60,8,3,207,2,Matches
131,Leander Dendoncker,be BEL,MF,Wolves,27,1995,2.4,128,6,33,75,21,5,128,2,1,50,2,2,77,3,Matches
132,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,8,335,5,55,118,177,40,335,53,18,34,32,25,219,63,Matches
133,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,0.1,1,0,0,0,1,0,1,0,0,,0,1,2,0,Matches
134,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,25.6,1490,48,278,795,443,50,1490,74,40,54.1,73,32,1038,91,Matches
135,Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,9.1,499,18,128,308,74,4,499,13,8,61.5,16,9,294,6,Matches
136,Rúben Dias,pt POR,DF,Manchester City,25,1997,22.2,2237,176,881,1280,83,22,2237,10,8,80,1,4,1791,2,Matches
137,Luis Díaz,co COL,FW,Liverpool,25,1997,11.1,618,4,47,247,336,77,618,65,32,49.2,30,37,500,116,Matches
138,Eric Dier,eng ENG,DF,Tottenham,28,1994,31.3,2274,370,1333,866,84,25,2274,6,3,50,10,3,1600,14,Matches
139,Lucas Digne,fr FRA,DF,Aston Villa,29,1993,16.7,1096,64,365,396,342,24,1096,18,3,16.7,16,12,625,89,Matches
140,Issa Diop,fr FRA,DF,Fulham,25,1997,22.4,1606,191,828,762,28,9,1606,5,3,60,10,1,1115,4,Matches
141,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,7.9,358,16,103,158,102,16,358,42,19,45.2,15,7,182,39,Matches
142,Ben Doak,sct SCO,FW,Liverpool,16,2005,0.3,22,0,4,10,10,2,22,4,0,0,1,0,15,4,Matches
143,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,7.4,500,27,144,184,172,24,500,12,5,41.7,12,3,306,57,Matches
144,Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,37.9,2776,307,1153,1419,215,53,2776,3,2,66.7,19,4,1934,16,Matches
145,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,17,713,18,156,327,242,45,713,33,20,60.6,27,13,440,66,Matches
146,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,30.8,1577,94,444,894,255,15,1577,21,15,71.4,28,20,884,17,Matches
147,Flynn Downes,eng ENG,MF,West Ham,23,1999,8.5,405,14,74,265,68,5,405,2,1,50,11,6,276,11,Matches
148,Kami Doyle,eng ENG,MF,Southampton,16,2005,0.1,6,0,2,3,1,0,6,1,0,0,0,1,7,0,Matches
149,Cody Drameh,eng ENG,DF,Leeds United,20,2001,0.8,44,1,7,26,11,0,44,1,1,100,1,1,23,3,Matches
150,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,1.7,59,55,59,0,0,0,59,0,0,,0,0,23,0,Matches
151,Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,0.2,22,3,13,9,1,1,22,1,1,100,1,0,12,0,Matches
152,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36,3461,428,1665,1712,97,34,3461,5,4,80,13,5,2586,5,Matches
153,Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,1.5,57,3,3,26,29,6,57,2,1,50,8,3,41,13,Matches
154,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,0.4,21,0,1,8,12,2,21,5,2,40,5,0,15,9,Matches
155,Ederson,br BRA,GK,Manchester City,28,1993,35,1302,1049,1295,9,0,0,1302,0,0,,0,0,833,0,Matches
156,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,20,672,25,68,317,293,95,672,46,16,34.8,60,51,479,100,Matches
157,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,6.3,278,4,48,86,148,32,278,37,12,32.4,24,12,188,39,Matches
158,Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,4.7,197,4,26,71,100,28,197,15,5,33.3,13,7,139,28,Matches
159,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,17.9,1194,14,147,566,491,50,1194,42,19,45.2,26,23,867,129,Matches
160,Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,1.3,63,2,11,42,11,0,63,0,0,,0,0,49,1,Matches
161,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,1994,24.1,952,60,204,399,362,54,952,47,24,51.1,38,38,533,98,Matches
162,Emerson,br BRA,DF,Tottenham,23,1999,19.3,1323,101,481,505,346,46,1323,31,15,48.4,22,19,775,103,Matches
163,Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,22.8,1644,43,269,914,465,35,1644,17,8,47.1,24,19,1220,66,Matches
164,Pervis Estupiñán,ec ECU,DF,Brighton,24,1998,29.7,2211,82,506,1076,649,71,2211,42,19,45.2,38,29,1434,183,Matches
165,Jonny Evans,nir NIR,DF,Leicester City,34,1988,11.7,906,137,474,424,9,2,906,0,0,,5,0,629,0,Matches
166,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,1998,29.3,1515,20,212,735,602,84,1514,122,71,58.2,71,54,999,129,Matches
167,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,34.6,1005,871,1000,5,0,0,1005,0,0,,3,0,350,0,Matches
168,Fabinho,br BRA,MF,Liverpool,28,1993,29.7,2092,83,456,1314,325,21,2092,15,7,46.7,17,12,1493,39,Matches
169,Wout Faes,be BEL,DF,Leicester City,24,1998,31,2177,357,1230,916,44,19,2177,12,9,75,15,5,1436,2,Matches
170,Felipe,br BRA,DF,Nott'ham Forest,33,1989,15.8,798,163,477,275,59,36,798,18,14,77.8,12,4,386,4,Matches
171,João Félix,pt POR,"FW,MF",Chelsea,22,1999,10.5,497,0,30,223,249,46,497,60,22,36.7,22,8,399,79,Matches
172,Evan Ferguson,ie IRL,FW,Brighton,17,2004,10.6,344,10,27,165,155,39,344,14,8,57.1,29,20,256,58,Matches
173,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,1994,36.8,2408,68,386,966,1078,149,2406,66,32,48.5,42,42,1689,231,Matches
174,Enzo Fernández,ar ARG,MF,Chelsea,21,2001,17.2,1616,45,351,1000,280,9,1616,32,17,53.1,25,13,1257,18,Matches
175,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,1991,13.5,735,3,69,375,295,84,735,24,13,54.2,38,23,565,96,Matches
176,Junior Firpo,es ESP,DF,Leeds United,25,1996,15.2,792,48,286,368,146,13,792,15,6,40,9,9,367,34,Matches
177,Phil Foden,eng ENG,FW,Manchester City,22,2000,20.5,1324,20,116,433,790,131,1324,81,40,49.4,34,29,1051,275,Matches
178,Wesley Fofana,fr FRA,DF,Leicester City,21,2000,2,169,11,68,97,7,3,169,3,2,66.7,3,0,115,1,Matches
179,Wesley Fofana,fr FRA,DF,Chelsea,21,2000,13.1,1013,97,424,509,85,10,1013,13,8,61.5,9,6,735,12,Matches
180,Pablo Fornals,es ESP,"FW,MF",West Ham,26,1996,16.7,917,16,144,424,360,36,917,21,10,47.6,21,15,616,101,Matches
181,Adam Forshaw,eng ENG,MF,Leeds United,30,1991,5.3,293,7,64,171,62,1,293,11,8,72.7,6,8,186,7,Matches
182,Fraser Forster,eng ENG,GK,Tottenham,34,1988,13.5,395,352,392,3,0,0,395,0,0,,1,0,148,0,Matches
183,Tyrese Francois,au AUS,FW,Fulham,22,2000,0,5,0,1,3,1,0,5,0,0,,1,0,2,1,Matches
184,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,1994,3.5,147,1,18,51,80,9,147,2,1,50,7,1,107,23,Matches
185,Fred,br BRA,MF,Manchester Utd,29,1993,13.9,999,38,250,483,279,37,999,32,12,37.5,26,16,614,50,Matches
186,Ryan Fredericks,eng ENG,DF,Bournemouth,29,1992,5.9,279,33,88,109,84,7,279,10,3,30,4,3,152,28,Matches
187,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,1992,24,1058,71,360,537,167,13,1058,12,6,50,20,8,557,11,Matches
188,Cody Gakpo,nl NED,"FW,MF",Liverpool,23,1999,16.2,591,6,42,266,298,76,591,48,23,47.9,43,36,448,109,Matches
189,Conor Gallagher,eng ENG,MF,Chelsea,22,2000,18,1134,32,198,529,421,59,1134,54,23,42.6,36,36,778,104,Matches
190,Idrissa Gana Gueye,sn SEN,MF,Everton,32,1989,28.6,1563,77,451,893,237,11,1563,35,19,54.3,31,18,845,19,Matches
191,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,2004,6.3,305,3,29,84,196,59,305,44,12,27.3,27,14,235,85,Matches
192,James Garner,eng ENG,"MF,DF",Everton,21,2001,8.9,441,22,97,201,150,9,441,14,7,50,11,3,225,18,Matches
193,David de Gea,es ESP,GK,Manchester Utd,31,1990,38,1302,1116,1297,5,0,0,1302,0,0,,0,0,783,0,Matches
194,Joe Gelhardt,eng ENG,FW,Leeds United,20,2002,2.4,115,4,10,52,54,14,115,9,1,11.1,9,7,84,21,Matches
195,Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,1993,1.5,98,7,23,38,40,3,98,2,0,0,3,1,44,6,Matches
196,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2000,2,119,1,18,53,49,4,119,8,2,25,3,1,82,12,Matches
197,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,2000,33,1447,20,169,626,680,76,1445,96,47,49,91,44,902,157,Matches
198,Bryan Gil,es ESP,"MF,FW",Tottenham,21,2001,1.6,80,1,13,30,37,2,80,5,2,40,5,3,61,15,Matches
199,Billy Gilmour,sct SCO,MF,Brighton,21,2001,5.6,453,15,112,276,71,4,453,6,2,33.3,6,5,350,4,Matches
200,Degnand Gnonto,it ITA,"FW,MF",Leeds United,18,2003,15,719,12,95,248,393,43,719,77,21,27.3,30,19,508,136,Matches
201,Ben Godfrey,eng ENG,DF,Everton,24,1998,8.9,391,55,159,175,63,8,391,8,3,37.5,12,3,159,7,Matches
202,João Gomes,br BRA,MF,Wolves,21,2001,7.3,409,19,118,212,80,5,409,19,8,42.1,7,5,223,8,Matches
203,Toti Gomes,pt POR,DF,Wolves,23,1999,10.9,688,86,313,278,100,15,688,16,9,56.3,6,3,402,23,Matches
204,Joe Gomez,eng ENG,DF,Liverpool,25,1997,16.3,1521,114,602,851,76,6,1521,5,4,80,13,5,1040,5,Matches
205,Sergio Gómez,es ESP,"DF,MF",Manchester City,21,2000,3.9,358,16,75,198,87,10,358,3,0,0,7,3,274,20,Matches
206,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,2001,5.4,275,5,30,112,135,27,275,21,7,33.3,19,5,196,45,Matches
207,Anthony Gordon,eng ENG,FW,Everton,21,2001,12.2,464,13,87,165,218,47,464,45,11,24.4,32,23,290,67,Matches
208,Demarai Gray,jm JAM,"FW,MF",Everton,26,1996,27.9,1181,22,110,441,652,104,1179,92,33,35.9,86,66,781,199,Matches
209,Jack Grealish,eng ENG,FW,Manchester City,26,1995,22.8,1308,20,141,421,772,136,1308,110,45,40.9,36,29,1065,310,Matches
210,Sam Greenwood,eng ENG,"MF,FW",Leeds United,20,2002,4.7,255,7,45,112,103,5,255,8,3,37.5,6,7,119,10,Matches
211,Pascal Groß,de GER,"MF,DF",Brighton,31,1991,36,2602,77,466,1225,924,98,2602,33,17,51.5,39,18,1832,209,Matches
212,Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,27,895,785,893,2,0,0,895,0,0,,1,0,383,0,Matches
213,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,1996,7.9,280,3,28,105,153,30,280,15,5,33.3,17,7,199,54,Matches
214,Marc Guéhi,eng ENG,DF,Crystal Palace,22,2000,37,2557,369,1415,1078,74,28,2557,21,14,66.7,17,7,1690,3,Matches
215,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,1997,30.3,2014,59,392,1076,575,50,2014,92,45,48.9,46,60,1503,42,Matches
216,İlkay Gündoğan,de GER,MF,Manchester City,31,1990,26.1,1806,31,243,975,596,88,1805,42,16,38.1,28,27,1425,124,Matches
217,Darko Gyabi,eng ENG,FW,Leeds United,18,2004,0.1,8,0,1,4,3,1,8,1,0,0,1,0,2,0,Matches
218,Erling Haaland,no NOR,FW,Manchester City,22,2000,30.8,763,18,39,290,435,217,756,32,11,34.4,51,26,583,151,Matches
219,Lewis Hall,eng ENG,DF,Chelsea,17,2004,7.3,534,22,165,207,168,22,534,25,9,36,16,7,352,41,Matches
220,Luke Harris,wls WAL,"MF,FW",Fulham,17,2005,0.1,14,0,0,8,6,0,14,0,0,,0,1,13,0,Matches
221,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,1996,30.1,1556,31,192,549,836,81,1556,118,48,40.7,92,61,1037,255,Matches
222,Kai Havertz,de GER,"FW,MF",Chelsea,23,1999,28.5,1258,46,108,519,640,165,1257,60,17,28.3,79,36,946,218,Matches
223,Jan Paul van Hecke,nl NED,DF,Brighton,22,2000,3.3,288,27,120,155,13,2,288,0,0,,1,0,213,0,Matches
224,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,1996,12.6,425,13,66,178,188,38,425,32,13,40.6,25,20,267,60,Matches
225,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,1997,18,715,600,711,5,0,0,715,0,0,,1,0,319,0,Matches
226,Jordan Henderson,eng ENG,MF,Liverpool,32,1990,23,1782,34,277,1013,505,45,1782,23,12,52.2,18,9,1319,90,Matches
227,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,1987,3,108,91,108,0,0,0,108,0,0,,0,0,47,0,Matches
228,Rico Henry,eng ENG,DF,Brentford,25,1997,36,1582,115,478,647,482,30,1582,50,26,52,50,44,813,111,Matches
229,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,1992,32.1,1217,12,143,457,643,106,1217,83,33,39.8,64,55,860,196,Matches
230,Aaron Hickey,sct SCO,DF,Brentford,20,2002,21.3,1028,47,328,499,211,21,1028,45,17,37.8,16,13,624,47,Matches
231,Jack Hinshelwood,eng ENG,FW,Brighton,17,2005,0,5,0,2,2,1,1,5,0,0,,0,0,3,1,Matches
232,Joseph Hodge,ie IRL,MF,Wolves,19,2002,1.9,118,5,26,56,36,4,118,0,0,,1,2,77,5,Matches
233,Rob Holding,eng ENG,DF,Arsenal,26,1995,6.3,499,58,240,245,15,7,499,1,1,100,3,0,339,2,Matches
234,Mason Holgate,eng ENG,DF,Everton,25,1996,5.6,286,35,120,139,27,5,286,3,3,100,6,0,141,5,Matches
235,Will Hughes,eng ENG,MF,Crystal Palace,27,1995,9.4,474,27,101,250,131,13,474,7,3,42.9,14,10,262,23,Matches
236,Omari Hutchinson,eng ENG,FW,Chelsea,18,2003,0.3,15,0,0,4,11,2,15,0,0,,1,1,11,1,Matches
237,Pierre Højbjerg,dk DEN,MF,Tottenham,26,1995,34.8,2633,122,670,1537,449,33,2633,45,30,66.7,39,35,1925,66,Matches
238,Kelechi Iheanacho,ng NGA,"FW,MF",Leicester City,25,1996,12.5,464,10,28,197,244,58,463,39,20,51.3,41,36,380,99,Matches
239,Danny Ings,eng ENG,FW,West Ham,30,1992,8.6,229,8,22,105,105,37,229,18,5,27.8,11,10,157,44,Matches
240,Danny Ings,eng ENG,FW,Aston Villa,30,1992,9.2,267,12,26,106,139,49,265,16,10,62.5,20,17,186,46,Matches
241,Alexander Isak,se SWE,FW,Newcastle Utd,22,1999,16.9,583,11,34,202,358,98,581,72,32,44.4,39,25,431,122,Matches
242,Daniel Iversen,dk DEN,GK,Leicester City,25,1997,12,411,344,406,5,0,0,411,0,0,,0,0,136,0,Matches
243,Alex Iwobi,ng NGA,"MF,FW",Everton,26,1996,37.5,1912,52,359,892,709,59,1912,110,55,50,68,42,1285,145,Matches
244,Daniel James,wls WAL,FW,Leeds United,24,1997,2.2,66,1,9,26,32,6,66,6,1,16.7,3,1,39,9,Matches
245,Daniel James,wls WAL,FW,Fulham,24,1997,6.9,254,9,27,78,156,29,254,14,5,35.7,10,13,173,48,Matches
246,Reece James,eng ENG,"DF,MF",Chelsea,22,1999,13.8,1187,39,256,543,395,25,1187,40,22,55,13,14,813,115,Matches
247,Vitaly Janelt,de GER,"MF,DF",Brentford,24,1998,24.5,1244,66,335,675,242,36,1244,24,9,37.5,18,11,737,28,Matches
248,Pontus Jansson,se SWE,DF,Brentford,31,1991,8,393,73,243,137,13,8,393,2,2,100,2,1,217,0,Matches
249,Mathias Jensen,dk DEN,MF,Brentford,26,1996,31.1,1890,43,368,868,669,29,1890,61,24,39.3,54,32,1011,77,Matches
250,Gabriel Jesus,br BRA,FW,Arsenal,25,1997,22.9,1080,26,110,406,573,191,1079,111,44,39.6,88,65,799,194,Matches
251,Raúl Jiménez,mx MEX,FW,Wolves,31,1991,9.4,293,11,28,139,127,44,293,10,5,50,23,14,219,45,Matches
252,Joelinton,br BRA,"MF,FW",Newcastle Utd,25,1996,29.6,1703,71,312,852,562,96,1703,111,53,47.7,72,51,1115,150,Matches
253,Ben Johnson,eng ENG,DF,West Ham,22,2000,9.6,627,43,256,289,87,2,627,17,8,47.1,7,7,335,22,Matches
254,Brennan Johnson,wls WAL,"FW,MF",Nott'ham Forest,21,2001,32.6,806,9,90,309,434,116,803,88,33,37.5,76,25,507,155,Matches
255,Sam Johnstone,eng ENG,GK,Crystal Palace,29,1993,9,298,242,297,1,0,0,298,0,0,,1,0,156,0,Matches
256,Curtis Jones,eng ENG,MF,Liverpool,21,2001,11.5,821,14,105,417,304,40,821,30,11,36.7,22,29,627,75,Matches
257,Jorginho,it ITA,MF,Arsenal,30,1991,9.5,807,27,159,476,175,8,807,10,3,30,8,8,629,8,Matches
258,Jorginho,it ITA,MF,Chelsea,30,1991,14.2,1026,36,273,577,178,8,1024,12,5,41.7,14,9,706,10,Matches
259,Mateo Joseph,eng ENG,"FW,MF",Leeds United,18,2003,0.3,9,1,1,5,3,1,9,1,0,0,1,3,6,2,Matches
260,Diogo Jota,pt POR,FW,Liverpool,25,1996,12.6,550,21,71,235,252,73,550,39,14,35.9,34,19,403,104,Matches
261,Hamed Junior Traorè,ci CIV,"FW,MF",Bournemouth,22,2000,4.7,246,2,29,109,116,11,246,25,16,64,15,13,142,21,Matches
262,James Justin,eng ENG,DF,Leicester City,24,1998,13.9,980,48,296,475,216,8,980,19,4,21.1,15,6,574,50,Matches
263,Mathias Jørgensen,dk DEN,DF,Brentford,32,1990,12.3,612,87,291,281,42,12,612,1,0,0,3,1,321,1,Matches
264,Sasa Kalajdzic,at AUT,FW,Wolves,25,1997,0.5,7,0,2,1,4,2,7,0,0,,1,0,5,1,Matches
265,Boubacar Kamara,fr FRA,MF,Aston Villa,22,1999,19.7,1145,65,362,662,132,10,1145,35,16,45.7,20,14,713,8,Matches
