Rk,Player,Nation,Pos,Squad,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches
148,Luke Cundle,eng ENG,MF,Wolves,20,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
149,Matheus Cunha,br BRA,FW,Wolves,23,1999,17,965,57,28.2,10.7,12,70,1,5,26,3,1.65,13,12,1,0.09,1.12,10.8,17,-6.2,-0.58,0.04,Matches
150,Michael DaCosta,es ESP,FW,Bournemouth,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
151,Patson Daka,zm ZAM,FW,Leicester City,23,1998,30,"1,187",40,34.7,13.2,13,65,2,17,20,7,0.83,20,24,-4,-0.3,0.22,18.8,20.4,-1.6,-0.12,0.33,Matches
152,Diogo Dalot,pt POR,DF,Manchester Utd,23,1999,26,"2,154",83,63,23.9,24,89,21,2,13,6,1.77,32,34,-2,-0.08,-1.29,37.6,34.6,2.9,0.12,-0.9,Matches
153,Mikkel Damsgaard,dk DEN,"MF,FW",Brentford,22,2000,26,988,38,28.9,11,9,66,0,17,23,9,1.5,19,14,5,0.46,0.2,19,14.6,4.4,0.4,0.31,Matches
154,Danilo,br BRA,MF,Nott'ham Forest,21,2001,13,976,75,28.5,10.8,12,78,5,1,46,3,1.23,17,17,0,0,1.1,11.8,20.1,-8.3,-0.77,-0.15,Matches
155,Arnaut Danjuma,nl NED,"FW,MF",Tottenham,25,1997,9,169,19,4.9,1.9,1,65,0,8,13,8,0.78,6,5,1,0.53,0.37,4.3,2.5,1.8,0.95,0.79,Matches
156,Karl Darlow,eng ENG,GK,Newcastle Utd,31,1990,0,,,,,0,,0,0,,7,,,,,,,,,,,,Matches
157,Josh Dasilva,eng ENG,MF,Brentford,23,1998,36,"1,389",39,40.6,15.4,14,68,0,22,20,2,1.47,28,17,11,0.71,0.67,24.4,18,6.4,0.42,0.4,Matches
158,David Datro Fofana,ci CIV,FW,Chelsea,19,2002,3,70,23,2,0.8,1,45,0,2,13,6,0.33,1,1,0,0,0.24,1.1,1.6,-0.5,-0.7,-0.64,Matches
159,Ben Davies,wls WAL,DF,Tottenham,29,1993,31,"2,288",74,66.9,25.4,26,87,20,5,7,2,1.61,44,33,11,0.43,0.75,35.4,26.4,9,0.35,0.48,Matches
160,Harvey Davies,eng ENG,GK,Liverpool,18,2003,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
161,Tom Davies,eng ENG,MF,Everton,24,1998,19,538,28,15.7,6,4,66,1,15,18,15,1,3,9,-6,-1,-0.47,6.1,11.5,-5.4,-0.91,-0.44,Matches
162,Craig Dawson,eng ENG,DF,West Ham,32,1990,8,720,90,21.1,8,8,90,8,0,,1,0.88,9,13,-4,-0.5,-0.2,9.8,10.8,-1,-0.12,-0.03,Matches
163,Craig Dawson,eng ENG,DF,Wolves,32,1990,17,"1,414",83,41.3,15.7,17,83,14,0,,1,1.41,16,18,-2,-0.13,0.99,14.8,25.2,-10.4,-0.66,-0.1,Matches
164,Kevin De Bruyne,be BEL,MF,Manchester City,31,1991,32,"2,417",76,70.7,26.9,28,84,16,4,20,3,2.31,69,23,46,1.71,0.37,58.7,19.4,39.3,1.46,0.81,Matches
165,Liam Delap,eng ENG,FW,Manchester City,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
166,Siriki Dembélé,ci CIV,"FW,MF",Bournemouth,25,1996,6,110,18,3.2,1.2,0,,0,6,18,9,0.17,0,2,-2,-1.64,-0.77,1.4,2.4,-1,-0.82,-0.16,Matches
167,Sepp van den Berg,nl NED,"DF,MF",Liverpool,20,2001,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
168,Leander Dendoncker,be BEL,MF,Aston Villa,27,1995,20,697,35,20.4,7.7,7,75,2,13,13,7,1.55,13,11,2,0.26,0.16,10.7,11,-0.4,-0.05,0.02,Matches
169,Leander Dendoncker,be BEL,MF,Wolves,27,1995,4,214,54,6.3,2.4,2,90,2,2,17,1,0.5,1,3,-2,-0.84,-0.14,2.4,3.6,-1.2,-0.49,0.13,Matches
170,Emmanuel Dennis,ng NGA,"FW,MF",Nott'ham Forest,24,1997,19,720,38,21.1,8,6,72,0,13,22,12,0.26,7,17,-10,-1.25,-0.58,8.1,13.3,-5.2,-0.64,0.02,Matches
171,Will Dennis,eng ENG,GK,Bournemouth,22,2000,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
172,Halil Dervişoğlu,tr TUR,MF,Brentford,22,1999,1,8,8,0.2,0.1,0,,0,1,8,1,1,1,0,1,11.25,10.96,0.1,0.1,0,-0.25,-0.43,Matches
173,Alfie Devine,eng ENG,MF,Tottenham,17,2004,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
174,Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,23,1998,31,"2,306",74,67.4,25.6,28,80,16,3,26,2,1,38,40,-2,-0.08,1.13,30.5,39.2,-8.7,-0.34,-0.01,Matches
175,Ibrahima Diallo,fr FRA,MF,Southampton,23,1999,18,819,46,23.9,9.1,11,67,4,7,12,12,0.83,5,19,-14,-1.54,-0.74,6.2,14.2,-8,-0.88,-0.35,Matches
176,Rúben Dias,pt POR,DF,Manchester City,25,1997,26,"1,998",77,58.4,22.2,22,87,19,4,23,6,2.65,65,16,49,2.21,1.45,47,17,30,1.35,0.31,Matches
177,Luis Díaz,co COL,FW,Liverpool,25,1997,17,996,59,29.1,11.1,11,76,5,6,26,0,1.94,28,11,17,1.54,1.13,22,11.8,10.2,0.92,0.5,Matches
178,Matt Dibley-Dias,eng ENG,MF,Fulham,18,2004,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
179,Eric Dier,eng ENG,DF,Tottenham,28,1994,33,"2,818",85,82.4,31.3,31,90,30,2,19,3,1.73,62,52,10,0.32,0.77,48.4,43.3,5.1,0.16,-0.18,Matches
180,Lucas Digne,fr FRA,DF,Aston Villa,29,1993,28,"1,502",54,43.9,16.7,18,75,10,10,15,4,1.46,22,25,-3,-0.18,-0.56,19.9,25.7,-5.8,-0.35,-0.52,Matches
181,Issa Diop,fr FRA,DF,Fulham,25,1997,25,"2,012",80,58.8,22.4,21,89,19,4,34,12,1.28,33,26,7,0.31,0.63,28.9,35.9,-6.9,-0.31,0.37,Matches
182,Moussa Djenepo,ml MLI,"DF,FW",Southampton,24,1998,16,710,44,20.8,7.9,7,77,2,9,19,10,0.63,7,14,-7,-0.89,0.11,6.9,11,-4.1,-0.52,0.12,Matches
183,Ben Doak,sct SCO,FW,Liverpool,16,2005,2,26,13,0.8,0.3,0,,0,2,13,2,1.5,0,1,-1,-3.46,-4.23,0.1,0.8,-0.6,-2.17,-2.76,Matches
184,Matt Doherty,ie IRL,"DF,MF",Tottenham,30,1992,12,667,56,19.5,7.4,7,82,2,5,18,9,1.33,12,9,3,0.4,0.27,9,8.6,0.4,0.06,-0.17,Matches
185,Gabriel Dos Santos,br BRA,DF,Arsenal,24,1997,38,"3,409",90,99.7,37.9,38,90,36,0,,0,2.21,88,43,45,1.19,1.19,71.8,41.4,30.4,0.8,5.3,Matches
186,Abdoulaye Doucouré,ml MLI,MF,Everton,29,1993,25,"1,533",61,44.8,17,17,84,14,8,13,4,1.2,18,26,-8,-0.47,0.25,24,29.5,-5.5,-0.32,0.4,Matches
187,Cheick Doucouré,ml MLI,MF,Crystal Palace,22,2000,34,"2,769",81,81,30.8,34,81,16,0,,1,1.24,36,41,-5,-0.16,0.39,33.3,38.7,-5.4,-0.18,0.29,Matches
188,Flynn Downes,eng ENG,MF,West Ham,23,1999,21,762,36,22.3,8.5,7,82,2,14,14,16,1.19,2,14,-12,-1.42,-1.38,7.4,13.5,-6.2,-0.73,-0.81,Matches
189,Kami Doyle,eng ENG,MF,Southampton,16,2005,1,7,7,0.2,0.1,0,,0,1,7,1,0,0,0,0,0,0.98,0,0.3,-0.3,-4.14,-3.54,Matches
190,Cody Drameh,eng ENG,DF,Leeds United,20,2001,1,69,69,2,0.8,1,69,0,0,,5,0,1,3,-2,-2.61,-1.86,0.5,1.3,-0.8,-1.05,-0.54,Matches
191,Amario Duberry,eng ENG,FW,Arsenal,17,2005,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
192,Martin Dúbravka,sk SVK,GK,Manchester Utd,33,1989,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
193,Martin Dúbravka,sk SVK,GK,Newcastle Utd,33,1989,2,157,79,4.6,1.7,1,90,1,1,67,22,0.5,1,1,0,0,-0.97,3.5,3.2,0.3,0.18,-0.7,Matches
194,Shane Duffy,ie IRL,"DF,FW",Fulham,30,1992,5,20,4,0.6,0.2,0,,0,5,4,25,2,0,4,-4,-18,-18.16,0.3,1.5,-1.2,-5.61,-5.18,Matches
195,Paul Dummett,wls WAL,DF,Newcastle Utd,30,1991,0,,,,,0,,0,0,,16,,,,,,,,,,,,Matches
196,Lewis Dunk,eng ENG,DF,Brighton,30,1991,36,"3,239",90,94.7,36,36,90,35,0,,2,1.69,70,50,20,0.56,1.05,69.7,45.4,24.3,0.67,1.24,Matches
197,Jhon Durán,co COL,"FW,MF",Aston Villa,18,2003,12,136,11,4,1.5,0,,0,12,11,5,1.42,3,4,-1,-0.66,-0.83,1.7,3.8,-2.2,-1.45,-1.45,Matches
198,Malcolm Ebiowei,eng ENG,"MF,FW",Crystal Palace,18,2003,3,34,11,1,0.4,0,,0,3,11,14,0,0,1,-1,-2.65,-2.43,0.3,0.2,0.1,0.39,0.62,Matches
199,Ederson,br BRA,GK,Manchester City,28,1993,35,"3,150",90,92.1,35,35,90,35,0,,3,2.34,89,32,57,1.63,0.3,73.4,28.3,45.1,1.29,0.81,Matches
200,Odsonne Édouard,fr FRA,FW,Crystal Palace,24,1998,35,"1,803",52,52.7,20,20,75,2,15,20,2,1.2,23,25,-2,-0.1,0.29,20.6,23.6,-3,-0.15,0.17,Matches
201,Samuel Edozie,eng ENG,"FW,MF",Southampton,19,2003,17,567,33,16.6,6.3,5,69,0,12,19,2,0.29,5,9,-4,-0.63,0.41,8.1,7.3,0.8,0.13,0.89,Matches
202,Anthony Elanga,se SWE,FW,Manchester Utd,20,2002,16,426,27,12.5,4.7,5,59,0,11,12,11,2.13,8,2,6,1.27,1,9.5,4.7,4.8,1.01,0.63,Matches
203,Harvey Elliott,eng ENG,"MF,FW",Liverpool,19,2003,32,"1,613",50,47.2,17.9,18,72,4,14,22,5,1.66,36,20,16,0.89,0.3,33.7,25.4,8.3,0.46,-0.2,Matches
204,Mohamed Elneny,eg EGY,MF,Arsenal,30,1992,5,113,23,3.3,1.3,1,90,1,4,6,4,3,2,2,0,0,-1.22,2.6,1.3,1.4,1.09,0.32,Matches
205,Mohamed Elyounoussi,no NOR,"MF,FW",Southampton,27,1994,33,"2,168",66,63.4,24.1,27,75,9,6,23,4,0.73,22,45,-23,-0.95,0.05,22.3,35.8,-13.5,-0.56,0.14,Matches
206,Emerson,br BRA,DF,Tottenham,23,1999,26,"1,735",67,50.7,19.3,20,82,12,6,15,2,1.73,34,26,8,0.41,0.47,27.7,21.2,6.5,0.34,0.29,Matches
207,Christian Eriksen,dk DEN,MF,Manchester Utd,30,1992,28,"2,048",73,59.9,22.8,25,80,7,3,14,1,2.14,33,25,8,0.35,-0.11,36.6,26,10.7,0.47,0.03,Matches
208,Pervis Estupiñán,ec ECU,DF,Brighton,24,1998,35,"2,675",76,78.2,29.7,31,83,20,4,25,1,1.63,59,43,16,0.54,0.18,58.3,40.7,17.6,0.59,-0.08,Matches
209,Jonny Evans,nir NIR,DF,Leicester City,34,1988,13,"1,051",81,30.7,11.7,12,88,10,1,1,3,0.62,17,28,-11,-0.94,-0.71,12,19.6,-7.6,-0.65,-0.45,Matches
210,Eberechi Eze,eng ENG,"MF,FW",Crystal Palace,24,1998,38,"2,636",69,77.1,29.3,30,82,15,8,23,0,1.18,38,35,3,0.1,1.48,31.9,31.7,0.2,0.01,1.04,Matches
211,Łukasz Fabiański,pl POL,GK,West Ham,37,1985,36,"3,111",86,91,34.6,36,86,33,0,,0,1.08,37,48,-11,-0.32,0.26,43.9,45.5,-1.7,-0.05,0.59,Matches
212,Fabinho,br BRA,MF,Liverpool,28,1993,36,"2,671",74,78.1,29.7,31,82,20,5,23,0,1.78,59,34,25,0.84,0.48,52.7,38.4,14.3,0.48,-0.4,Matches
213,Wout Faes,be BEL,DF,Leicester City,24,1998,31,"2,786",90,81.5,31,31,90,30,0,,0,1.03,42,51,-9,-0.29,0.84,43.2,52.4,-9.2,-0.3,0.21,Matches
214,Felipe,br BRA,DF,Nott'ham Forest,33,1989,16,"1,418",89,41.5,15.8,15,89,13,1,84,1,0.81,20,32,-12,-0.76,0.05,15.2,31.2,-16,-1.02,-0.62,Matches
215,João Félix,pt POR,"FW,MF",Chelsea,22,1999,16,941,59,27.5,10.5,11,75,3,5,22,1,0.88,11,15,-4,-0.38,-0.2,17.7,13.4,4.3,0.41,0.68,Matches
216,Evan Ferguson,ie IRL,FW,Brighton,17,2004,19,950,50,27.8,10.6,10,70,1,9,28,2,1.63,21,12,9,0.85,0.49,23.3,13.1,10.2,0.97,0.5,Matches
217,Bruno Fernandes,pt POR,"MF,FW",Manchester Utd,27,1994,37,"3,316",90,97,36.8,37,90,33,0,,0,2.03,57,39,18,0.49,3.08,65.9,49.2,16.7,0.45,-0.04,Matches
218,Enzo Fernández,ar ARG,MF,Chelsea,21,2001,18,"1,547",86,45.2,17.2,18,86,14,0,,0,0.83,16,25,-9,-0.52,-0.52,24.8,24.1,0.7,0.04,0.22,Matches
219,Ryan Finnigan,eng ENG,MF,Southampton,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
220,Roberto Firmino,br BRA,"FW,MF",Liverpool,30,1991,25,"1,213",49,35.5,13.5,13,73,3,12,22,0,1.64,28,17,11,0.82,0.12,24,19.6,4.3,0.32,-0.39,Matches
221,Junior Firpo,es ESP,DF,Leeds United,25,1996,19,"1,368",72,40,15.2,14,86,10,5,32,11,0.74,17,33,-16,-1.05,-0.44,17,30.9,-13.9,-0.92,-0.66,Matches
222,Phil Foden,eng ENG,FW,Manchester City,22,2000,32,"1,842",58,53.9,20.5,22,77,11,10,15,1,2.31,49,16,33,1.61,0.02,39.6,17.7,22,1.07,-0.33,Matches
223,Wesley Fofana,fr FRA,DF,Leicester City,21,2000,2,180,90,5.3,2,2,90,2,0,,0,0.5,4,6,-2,-1,-0.58,1.1,3.5,-2.4,-1.22,-0.93,Matches
224,Wesley Fofana,fr FRA,DF,Chelsea,21,2000,15,"1,183",79,34.6,13.1,12,85,7,3,54,1,1,13,18,-5,-0.38,-0.22,17.9,18.9,-0.9,-0.07,0.02,Matches
225,Pablo Fornals,es ESP,"FW,MF",West Ham,26,1996,32,"1,503",47,43.9,16.7,17,75,3,15,16,6,1.09,18,28,-10,-0.6,-0.46,19.7,24.6,-5,-0.3,-0.35,Matches
226,Adam Forshaw,eng ENG,MF,Leeds United,30,1991,12,479,40,14,5.3,5,68,1,7,20,4,0.5,4,13,-9,-1.69,-1.05,4.4,12.2,-7.7,-1.44,-1.07,Matches
227,Fraser Forster,eng ENG,GK,Tottenham,34,1988,14,"1,215",87,35.5,13.5,13,90,13,1,45,24,1.29,26,24,2,0.15,-0.06,21.4,18.8,2.6,0.19,0,Matches
228,Tyrese Francois,au AUS,FW,Fulham,22,2000,1,1,1,0,0,0,,0,1,1,6,1,0,0,0,0,-0.05,0,0,0,0,0.46,Matches
229,Nathan Fraser,ie IRL,FW,Wolves,17,2005,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
230,Ryan Fraser,sct SCO,FW,Newcastle Utd,28,1994,8,313,39,9.2,3.5,3,67,0,5,22,8,1.63,3,3,0,0,-1.01,5.8,3.3,2.5,0.71,-0.15,Matches
231,Fred,br BRA,MF,Manchester Utd,29,1993,35,"1,249",36,36.5,13.9,12,74,6,23,16,3,1.97,24,22,2,0.14,-0.39,27.7,22.2,5.6,0.4,-0.08,Matches
232,Ryan Fredericks,eng ENG,DF,Bournemouth,29,1992,12,533,44,15.6,5.9,5,74,1,7,23,2,1,11,11,0,0,1.06,6.7,10,-3.3,-0.55,0.14,Matches
233,Remo Freuler,ch SUI,MF,Nott'ham Forest,30,1992,28,"2,161",77,63.2,24,24,84,16,4,38,8,0.82,17,47,-30,-1.25,-1.25,22.9,41.5,-18.5,-0.77,-0.31,Matches
234,Leo Fuhr Hjelde,no NOR,DF,Leeds United,18,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
235,James Furlong,ie IRL,"DF,MF",Brighton,20,2002,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
236,Cody Gakpo,nl NED,"FW,MF",Liverpool,23,1999,21,"1,458",69,42.6,16.2,17,81,6,4,22,0,1.86,32,19,13,0.8,0.11,32.9,19.2,13.7,0.84,0.48,Matches
237,Conor Gallagher,eng ENG,MF,Chelsea,22,2000,35,"1,621",46,47.4,18,18,73,8,17,18,2,1.23,15,22,-7,-0.39,-0.29,21.2,26.1,-4.9,-0.27,-0.36,Matches
238,Idrissa Gana Gueye,sn SEN,MF,Everton,32,1989,33,"2,577",78,75.4,28.6,32,80,14,1,29,0,1,25,45,-20,-0.7,-0.38,32.7,49,-16.3,-0.57,-0.11,Matches
239,Alejandro Garnacho,ar ARG,"FW,MF",Manchester Utd,18,2004,19,569,30,16.6,6.3,5,56,0,14,21,9,2.05,16,13,3,0.47,0.1,16.9,8.2,8.6,1.37,1.09,Matches
240,James Garner,eng ENG,MF,Manchester Utd,21,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
241,James Garner,eng ENG,"MF,DF",Everton,21,2001,16,804,50,23.5,8.9,7,88,6,9,21,5,0.88,12,13,-1,-0.11,0.64,13.3,15.3,-2.1,-0.23,0.41,Matches
242,Jean-Philippe Gbamin,ci CIV,"DF,MF",Everton,26,1995,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
243,David de Gea,es ESP,GK,Manchester Utd,31,1990,38,"3,420",90,100,38,38,90,38,0,,0,1.97,58,43,15,0.39,,67.7,50.4,17.3,0.45,,Matches
244,Joe Gelhardt,eng ENG,FW,Leeds United,20,2002,15,212,14,6.2,2.4,1,58,0,14,11,2,0.8,6,3,3,1.27,2.2,3.7,2.7,1,0.43,1.02,Matches
245,Saman Ghoddos,ir IRN,"MF,FW",Brentford,28,1993,15,139,9,4.1,1.5,0,,0,15,9,19,1.53,3,5,-2,-1.29,-1.68,2.6,4.4,-1.8,-1.16,-1.4,Matches
246,Morgan Gibbs-White,eng ENG,"FW,MF",Wolves,22,2000,2,180,90,5.3,2,2,90,2,0,,0,0.5,1,2,-1,-0.5,0.22,2.2,2.3,0,-0.02,0.62,Matches
247,Morgan Gibbs-White,eng ENG,"MF,FW",Nott'ham Forest,22,2000,35,"2,971",85,86.9,33,34,87,26,1,30,0,1,37,59,-22,-0.67,0.94,36,54.7,-18.7,-0.57,0.69,Matches
248,Bryan Gil,es ESP,"MF,FW",Tottenham,21,2001,4,148,37,4.3,1.6,2,69,0,2,5,12,1.5,5,1,4,2.43,2.35,2.3,1,1.3,0.79,0.62,Matches
249,Alfie Gilchrist,eng ENG,DF,Chelsea,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
250,Mark Gillespie,eng ENG,GK,Newcastle Utd,30,1992,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
251,Billy Gilmour,sct SCO,MF,Chelsea,21,2001,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
252,Billy Gilmour,sct SCO,MF,Brighton,21,2001,14,507,36,14.8,5.6,7,68,2,7,5,16,1.79,14,8,6,1.07,0.66,12.5,9.8,2.7,0.48,-0.15,Matches
253,Degnand Gnonto,it ITA,"FW,MF",Leeds United,18,2003,24,"1,354",56,39.6,15,14,79,7,10,26,5,0.75,17,28,-11,-0.73,0.1,16.3,25.1,-8.7,-0.58,-0.1,Matches
254,Ben Godfrey,eng ENG,DF,Everton,24,1998,13,802,62,23.5,8.9,10,75,6,3,18,5,0.62,10,18,-8,-0.9,-0.38,10,17.4,-7.4,-0.83,-0.38,Matches
255,Martial Godo,eng ENG,MF,Fulham,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
256,André Gomes,pt POR,MF,Everton,29,1993,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
257,Claudio Gomes,fr FRA,MF,Manchester City,22,2000,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches
258,João Gomes,br BRA,MF,Wolves,21,2001,11,653,59,19.1,7.3,7,80,4,4,23,6,1.18,10,18,-8,-1.1,-0.48,8.5,14.9,-6.4,-0.89,-0.35,Matches
259,Toti Gomes,pt POR,DF,Wolves,23,1999,17,984,58,28.8,10.9,10,85,7,7,19,11,1.41,10,14,-4,-0.37,0.48,10.1,21.3,-11.2,-1.03,-0.59,Matches
260,Joe Gomez,eng ENG,DF,Liverpool,25,1997,21,"1,466",70,42.9,16.3,15,90,15,6,19,12,1.67,28,16,12,0.74,0,30.4,24.6,5.8,0.36,-0.38,Matches
261,Sergio Gómez,es ESP,"DF,MF",Manchester City,21,2000,12,349,29,10.2,3.9,2,84,1,10,18,20,2.58,5,6,-1,-0.26,-2.07,6.1,6.7,-0.6,-0.14,-1.52,Matches
262,Charlie Goode,eng ENG,DF,Brentford,26,1995,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
263,Owen Goodman,eng ENG,GK,Crystal Palace,18,2003,0,,,,,0,,0,0,,4,,,,,,,,,,,,Matches
264,Anthony Gordon,eng ENG,"FW,MF",Newcastle Utd,21,2001,16,487,30,14.2,5.4,4,57,0,12,22,0,1.63,7,5,2,0.37,-0.64,9.3,7.1,2.1,0.39,-0.53,Matches
265,Anthony Gordon,eng ENG,FW,Everton,21,2001,16,"1,095",68,32,12.2,12,85,7,4,19,1,0.88,10,13,-3,-0.25,0.53,13.2,17.5,-4.3,-0.36,0.27,Matches
266,John-Kymani Gordon,eng ENG,FW,Crystal Palace,19,2003,0,,,,,0,,0,0,,5,,,,,,,,,,,,Matches
267,Archie Gray,eng ENG,MF,Leeds United,16,2006,0,,,,,0,,0,0,,6,,,,,,,,,,,,Matches
268,Demarai Gray,jm JAM,"FW,MF",Everton,26,1996,33,"2,507",76,73.3,27.9,27,86,16,6,30,5,0.79,20,39,-19,-0.68,-0.29,28.7,44.9,-16.2,-0.58,-0.15,Matches
269,Jack Grealish,eng ENG,FW,Manchester City,26,1995,28,"2,055",73,60.1,22.8,23,83,11,5,31,5,2.64,63,16,47,2.06,1.14,50.6,14,36.6,1.6,0.94,Matches
270,Ben Greenwood,ie IRL,DF,Bournemouth,19,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
271,Sam Greenwood,eng ENG,"MF,FW",Leeds United,20,2002,18,424,24,12.4,4.7,3,70,1,15,14,18,0.72,10,11,-1,-0.21,0.66,8.5,11.5,-3,-0.64,-0.14,Matches
272,Harvey Griffiths,eng ENG,MF,Wolves,18,2003,0,,,,,0,,0,0,,1,,,,,,,,,,,,Matches
273,Pascal Groß,de GER,"MF,DF",Brighton,31,1991,37,"3,239",88,94.7,36,37,88,30,0,,0,1.59,70,51,19,0.53,0.53,69.7,47.3,22.4,0.62,0.26,Matches
274,Vicente Guaita,es ESP,GK,Crystal Palace,35,1987,27,"2,430",90,71.1,27,27,90,27,0,,5,1.11,23,34,-11,-0.41,-0.59,25.2,37.4,-12.2,-0.45,-0.76,Matches
275,Gonçalo Guedes,pt POR,"FW,MF",Wolves,25,1996,13,707,54,20.7,7.9,8,71,1,5,27,4,0.77,4,12,-8,-1.02,-0.39,5.7,11.7,-6,-0.76,-0.2,Matches
276,Marc Guéhi,eng ENG,DF,Crystal Palace,22,2000,37,"3,329",90,97.3,37,37,90,36,0,,0,1.22,40,46,-6,-0.16,2.8,38.8,45.5,-6.7,-0.18,1.9,Matches
277,Bruno Guimarães,br BRA,MF,Newcastle Utd,24,1997,32,"2,726",85,79.7,30.3,32,85,23,0,,0,2.09,61,25,36,1.19,1.32,59.3,29.8,29.4,0.97,0.59,Matches
278,İlkay Gündoğan,de GER,MF,Manchester City,31,1990,31,"2,353",76,68.8,26.1,27,85,17,4,15,7,2.39,71,20,51,1.95,1.11,61.4,19.4,41.9,1.6,1.21,Matches
279,Darko Gyabi,eng ENG,FW,Leeds United,18,2004,1,8,8,0.2,0.1,0,,0,1,8,12,0,0,0,0,0,0.79,0.1,0.3,-0.2,-2.3,-1.79,Matches
280,Erling Haaland,no NOR,FW,Manchester City,22,2000,35,"2,769",79,81,30.8,33,83,21,2,22,1,2.37,84,26,58,1.89,1.47,67,24.3,42.6,1.39,0.84,Matches
281,Lewis Hall,eng ENG,DF,Chelsea,17,2004,9,654,73,19.1,7.3,8,79,3,1,23,5,0.67,6,11,-5,-0.69,-0.56,10.6,13.2,-2.5,-0.35,-0.33,Matches
282,Oliver Hammond,wls WAL,MF,Nott'ham Forest,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
283,Luke Harris,wls WAL,"MF,FW",Fulham,17,2005,3,13,4,0.4,0.1,0,,0,3,4,20,2,0,1,-1,-6.92,-7,0.3,1.2,-0.8,-5.88,-5.43,Matches
284,Jack Harrison,eng ENG,"FW,MF",Leeds United,25,1996,36,"2,708",75,79.2,30.1,34,78,11,2,27,1,0.86,35,55,-20,-0.66,0.6,37.4,50.5,-13.1,-0.43,0.42,Matches
285,Kai Havertz,de GER,"FW,MF",Chelsea,23,1999,35,"2,569",73,75.1,28.5,30,81,15,5,25,1,1.23,29,31,-2,-0.07,0.67,40.3,38.2,2.2,0.08,0.63,Matches
286,Tom Heaton,eng ENG,GK,Manchester Utd,36,1986,0,,,,,0,,0,0,,23,,,,,,,,,,,,Matches
287,Jan Paul van Hecke,nl NED,DF,Brighton,22,2000,8,295,37,8.6,3.3,3,86,2,5,8,24,1.5,3,7,-4,-1.22,-1.88,4.6,6.9,-2.3,-0.7,-1.43,Matches
288,Hwang Hee-chan,kr KOR,"FW,MF",Wolves,26,1996,27,"1,130",42,33,12.6,12,66,1,15,23,2,1.15,12,18,-6,-0.48,0.35,11.9,17.6,-5.7,-0.45,0.23,Matches
289,Krisztián Hegyi,hu HUN,GK,West Ham,19,2002,0,,,,,0,,0,0,,3,,,,,,,,,,,,Matches
290,Dean Henderson,eng ENG,GK,Nott'ham Forest,25,1997,18,"1,620",90,47.4,18,18,90,18,0,,0,1.11,15,31,-16,-0.89,-0.19,20.5,26.6,-6.1,-0.34,0.6,Matches
291,Jordan Henderson,eng ENG,MF,Liverpool,32,1990,35,"2,074",59,60.6,23,23,78,10,12,23,0,1.8,48,30,18,0.78,0.11,44,31.6,12.4,0.54,-0.08,Matches
292,Wayne Hennessey,wls WAL,GK,Nott'ham Forest,35,1987,4,271,68,7.9,3,3,90,3,1,1,33,1.25,2,5,-3,-1,-0.22,3.1,5.2,-2.2,-0.72,-0.07,Matches
293,Rico Henry,eng ENG,DF,Brentford,25,1997,37,"3,238",88,94.7,36,37,88,29,0,,0,1.51,53,46,7,0.19,-2.28,54,48.2,5.7,0.16,-0.38,Matches
294,Son Heung-min,kr KOR,"MF,FW",Tottenham,30,1992,36,"2,888",80,84.4,32.1,33,85,19,3,22,0,1.58,57,55,2,0.06,-0.78,48.9,43,6,0.19,-0.06,Matches
295,Aaron Hickey,sct SCO,DF,Brentford,20,2002,26,"1,916",74,56,21.3,23,81,8,3,16,2,1.46,33,30,3,0.14,-0.4,32.5,27.3,5.1,0.24,0.14,Matches
