Rk,Player,Nation,Pos,Squad,Age,Born,90s,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Succ,Att,Succ%,Mis,Dis,Rec,Prog,Matches,-9999
286,James Maddison,eng ENG,MF,Leicester City,23,1996,23.3,1368,7,92,672,619,57,1368,29,51,56.9,57,33,1003,114,Matches,ee38d9c5
287,Harry Maguire,eng ENG,DF,Manchester Utd,27,1993,33.9,2563,348,1185,1204,193,52,2563,8,14,57.1,10,6,1741,8,Matches,d8931174
288,Riyad Mahrez,dz ALG,FW,Manchester City,29,1991,21.7,1304,5,61,449,806,137,1304,45,81,55.6,46,29,1067,133,Matches,892d5bb1
289,Ainsley Maitland-Niles,eng ENG,MFDF,Arsenal,22,1997,5.4,347,17,116,153,82,6,347,6,10,60.0,10,7,213,14,Matches,e3a5814e
290,Ainsley Maitland-Niles,eng ENG,MF,West Brom,22,1997,13.7,576,36,129,257,197,25,576,16,33,48.5,32,24,314,33,Matches,e3a5814e
291,Josh Maja,ng NGA,FW,Fulham,21,1998,9.0,254,2,24,125,108,32,253,8,15,53.3,26,13,197,36,Matches,bc0bfc64
292,Sadio Mané,sn SEN,FW,Liverpool,28,1992,31.2,1505,16,87,534,902,241,1505,82,144,56.9,101,61,1244,310,Matches,c691bfe2
293,Javier Manquillo,es ESP,DF,Newcastle Utd,26,1994,9.2,478,23,130,214,142,5,478,1,8,12.5,15,7,253,15,Matches,758dd7f0
294,Fernando Marçal,br BRA,DFMF,Wolves,31,1989,6.9,458,27,146,213,100,2,458,7,13,53.8,6,2,250,8,Matches,9ae9eaea
295,Solly March,eng ENG,DFMF,Brighton,26,1994,18.6,1162,43,242,438,501,50,1162,44,63,69.8,22,24,658,55,Matches,bb5fbd2b
296,Pablo Marí,es ESP,DF,Arsenal,26,1993,10.0,700,83,389,302,10,3,700,3,3,100.0,1,0,517,1,Matches,aa54ec6f
297,Anthony Martial,fr FRA,FW,Manchester Utd,24,1995,16.4,669,12,47,239,390,101,669,35,59,59.3,50,37,580,136,Matches,8b788c01
298,Martinelli,br BRA,FW,Arsenal,19,2001,6.5,248,7,38,64,149,41,248,13,25,52.0,22,7,164,29,Matches,48a5a5d6
299,Emiliano Martínez,ar ARG,GK,Aston Villa,27,1992,38.0,1408,1176,1393,15,0,0,1408,0,0,,1,0,593,0,Matches,7956236f
300,Arthur Masuaku,cd COD,DFMF,West Ham,26,1993,11.2,689,37,183,300,216,11,689,29,44,65.9,14,15,449,28,Matches,57df7a11
301,Juan Mata,es ESP,FWMF,Manchester Utd,32,1988,5.7,325,4,29,168,130,12,324,2,3,66.7,7,6,275,25,Matches,29733c72
302,Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,23,1997,2.5,75,3,13,41,22,8,75,3,6,50.0,10,5,58,9,Matches,50e6dc35
303,Nemanja Matić,rs SRB,MF,Manchester Utd,31,1988,12.3,1137,40,284,707,161,9,1137,17,21,81.0,14,8,850,8,Matches,eb7822d7
304,Joël Matip,cm CMR,DF,Liverpool,28,1991,7.7,607,46,239,352,21,6,607,0,0,,3,1,428,1,Matches,b217ef29
305,Neal Maupay,fr FRA,FWMF,Brighton,23,1996,27.9,933,12,75,406,464,140,929,24,48,50.0,74,48,668,178,Matches,4bcf39f6
306,James McArthur,sct SCO,MF,Crystal Palace,32,1987,16.3,977,47,268,583,141,18,977,14,19,73.7,17,10,531,25,Matches,cee31595
307,Oliver McBurnie,sct SCO,FW,Sheffield Utd,24,1996,14.7,609,33,64,251,298,53,609,4,13,30.8,23,17,462,55,Matches,78b8ac63
308,Alex McCarthy,eng ENG,GK,Southampton,30,1989,30.0,1150,859,1143,7,0,0,1150,2,2,100.0,1,0,581,1,Matches,36c2ca73
309,James McCarthy,ie IRL,MF,Crystal Palace,29,1990,9.1,420,30,123,253,46,1,420,2,3,66.7,10,1,209,3,Matches,64b08de7
310,John McGinn,sct SCO,MF,Aston Villa,25,1994,37.0,1779,66,314,1031,467,49,1779,52,77,67.5,67,35,1172,68,Matches,90f91999
311,David McGoldrick,ie IRL,FWMF,Sheffield Utd,32,1987,26.6,1281,33,109,543,644,90,1281,47,81,58.0,88,44,979,143,Matches,dbe56a33
312,Dwight McNeil,eng ENG,MF,Burnley,20,1999,34.1,1700,52,266,856,615,40,1700,63,103,61.2,57,62,1051,64,Matches,fc15fb84
313,Scott McTominay,sct SCO,MF,Manchester Utd,23,1996,23.7,1606,82,422,906,298,33,1606,26,35,74.3,41,17,1122,26,Matches,d93c2511
314,Ben Mee,eng ENG,DF,Burnley,30,1989,29.9,1465,238,714,702,58,44,1465,4,6,66.7,9,2,672,3,Matches,8df7a2fb
315,Hannibal Mejbri,tn TUN,MF,Manchester Utd,17,2003,0.1,6,0,1,5,0,0,6,1,3,33.3,0,0,3,0,Matches,ca22ccb0
316,Benjamin Mendy,fr FRA,DF,Manchester City,26,1994,10.6,736,22,124,380,240,15,736,11,14,78.6,16,5,498,26,Matches,5271c8f1
317,Edouard Mendy,sn SEN,GK,Chelsea,28,1992,30.5,1070,897,1065,5,0,0,1070,0,0,,0,0,624,0,Matches,33887998
318,Nampalys Mendy,sn SEN,MF,Leicester City,28,1992,16.2,1098,20,205,749,151,0,1098,6,12,50.0,18,11,808,3,Matches,1598599e
