Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def,Matches,-9999
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,4,0.39,4,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches,a1232f4e
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,2,0.15,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3626f7d9
40,George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31.0,35,1.13,30,1,1,3,0,0,2,0.06,1,0,0,1,0,0,Matches,394854c4
41,Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,47,4.59,26,7,9,3,2,0,6,0.59,3,1,0,2,0,0,Matches,a58bb1e1
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,65,1.92,46,0,5,10,4,0,16,0.47,9,0,2,2,3,0,Matches,93feac6e
43,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,4,1.31,2,0,1,0,1,0,0,0.00,0,0,0,0,0,0,Matches,1ae30132
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,75,4.41,43,19,8,2,2,1,5,0.29,2,1,0,1,1,0,Matches,3a24769f
45,Ross Barkley,eng ENG,FWMF,Chelsea,26,1993,0.5,2,4.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a24769f
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,41,2.77,28,0,0,6,5,2,2,0.13,0,0,0,1,1,0,Matches,2691c772
47,Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,71,3.29,49,0,7,8,7,0,10,0.46,8,0,1,0,1,0,Matches,3ea50f67
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,14,0.49,11,0,0,2,0,1,2,0.07,2,0,0,0,0,0,Matches,18e96f64
49,Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,25,0.87,19,1,3,0,2,0,2,0.07,0,1,1,0,0,0,Matches,1aa84968
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,23,2.84,15,1,4,0,3,0,3,0.37,2,0,0,0,1,0,Matches,2973d8ff
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,21,0.61,16,1,0,4,0,0,2,0.06,2,0,0,0,0,0,Matches,4115ce4e
52,Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,12,2.05,10,0,1,0,1,0,2,0.34,1,0,0,0,1,0,Matches,50dc94ce
53,Héctor Bellerín,es ESP,DFMF,Arsenal,25,1995,23.2,46,1.98,43,0,0,2,1,0,7,0.30,6,0,0,0,1,0,Matches,f874dd44
54,Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,63,4.07,52,0,4,3,3,1,10,0.65,10,0,0,0,0,0,Matches,5a04fd92
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,2,0.68,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bf3aeb61
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,40,1.98,31,0,4,2,1,2,4,0.20,2,0,1,0,0,1,Matches,ab070c55
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,1,0.80,0,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches,5348aada
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,28,1.85,23,0,1,1,3,0,0,0.00,0,0,0,0,0,0,Matches,f72293fc
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,23,1.85,20,0,2,1,0,0,1,0.08,0,0,0,1,0,0,Matches,d0b6129f
60,Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,35,2.61,24,1,2,3,5,0,7,0.52,3,0,2,1,1,0,Matches,a29b1131
61,Bernard,br BRA,MFFW,Everton,27,1992,5.1,22,4.35,19,0,1,1,1,0,2,0.40,2,0,0,0,0,0,Matches,ab4b3e35
62,Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,4,1.76,2,0,0,2,0,0,0,0.00,0,0,0,0,0,0,Matches,17370b95
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,43,1.49,29,11,0,0,1,2,4,0.14,3,0,0,0,0,1,Matches,01226327
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,59,1.71,47,0,4,3,2,3,3,0.09,3,0,0,0,0,0,Matches,6c203af0
65,Jayden Bogle,eng ENG,DFMF,Sheffield Utd,20,2000,12.3,12,0.97,7,2,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches,ae5019e6
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,12,0.57,10,0,0,2,0,0,1,0.05,1,0,0,0,0,0,Matches,a4ac4b8f
67,Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,78,2.74,41,12,6,10,8,1,12,0.42,7,3,0,2,0,0,Matches,79c84d1c
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,19,1.63,13,1,1,2,2,0,2,0.17,0,1,0,0,1,0,Matches,96bb8cc2
69,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,20,2000,12.5,23,1.83,16,0,0,4,3,0,0,0.00,0,0,0,0,0,0,Matches,30e81a88
70,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,43309491
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,59,1.89,45,0,3,4,6,1,5,0.16,4,0,0,0,0,1,Matches,47369df8
72,Joe Bryan,eng ENG,DFMF,Fulham,26,1993,7.4,21,2.83,13,2,2,3,1,0,1,0.13,0,0,0,0,1,0,Matches,af69e7f0
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,7,0.63,7,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c684d3c9
74,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,26,1.85,18,0,4,3,0,1,1,0.07,1,0,0,0,0,0,Matches,f631c17f
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,25,1.09,24,0,0,1,0,0,2,0.09,1,0,0,1,0,0,Matches,b2d31e83
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,cc70a1d5
77,David Button,eng ENG,GK,West Brom,31,1989,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e608ed4c
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,aa6f2f2c
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a179d516
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,15,0.75,14,0,0,1,0,0,2,0.10,2,0,0,0,0,0,Matches,7914b9fe
81,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,38,4.51,24,8,3,1,2,0,2,0.24,2,0,0,0,0,0,Matches,a8748947
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,55,1.72,34,0,3,10,7,1,7,0.22,1,0,0,4,2,0,Matches,59e6e5bf
83,João Cancelo,pt POR,DFMF,Manchester City,26,1994,25.5,82,3.21,64,4,12,1,1,0,12,0.47,8,1,1,1,1,0,Matches,bd6351cd
84,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,9,2.28,8,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,55b4f1d6
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,10,2.30,6,0,2,2,0,0,1,0.23,1,0,0,0,0,0,Matches,b581987a
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3e1550ee
87,Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,2.8,8,2.82,5,0,2,0,1,0,0,0.00,0,0,0,0,0,0,Matches,966e28d0
88,Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,35,1.33,28,3,2,0,1,1,2,0.08,2,0,0,0,0,0,Matches,2389cdc2
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,2,0.67,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,58bc7d18
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,49,1.88,45,3,0,0,0,1,4,0.15,4,0,0,0,0,0,Matches,197640fd
91,Jonny Castro,es ESP,MFDF,Wolves,26,1994,5.5,5,0.91,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,e28868f3
92,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,27.5,85,3.10,57,17,3,3,5,0,2,0.07,1,0,0,0,1,0,Matches,979b811d
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,31,2.03,23,0,2,4,2,0,4,0.26,3,0,0,1,0,0,Matches,527f063d
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,68,3.79,60,3,1,1,2,1,5,0.28,4,0,0,1,0,0,Matches,c0617e2b
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,17,2.03,16,0,0,1,0,0,2,0.24,2,0,0,0,0,0,Matches,dc6f5bdd
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,66,2.60,44,12,2,3,4,1,10,0.39,9,0,0,0,1,0,Matches,d2424d1b
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,3,0.85,2,0,0,1,0,0,1,0.28,1,0,0,0,0,0,Matches,7d2d3329
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,13,0.85,12,0,1,0,0,0,1,0.07,1,0,0,0,0,0,Matches,1cb49278
99,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,16,2003,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,b2f9c73e
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,7,0.33,6,0,1,0,0,0,1,0.05,1,0,0,0,0,0,Matches,2b91cf8e
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,8,0.63,6,1,0,1,0,0,1,0.08,1,0,0,0,0,0,Matches,0442183b
102,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,13,0.35,12,0,0,1,0,0,1,0.03,1,0,0,0,0,0,Matches,2928dca2
103,Séamus Coleman,ie IRL,DFMF,Everton,31,1988,17.9,34,1.90,27,0,2,2,3,0,5,0.28,4,0,0,0,1,0,Matches,0420d84f
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,15,1.71,10,0,2,1,2,0,1,0.11,1,0,0,0,0,0,Matches,27c01749
105,Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,17,0.70,13,0,0,3,0,1,2,0.08,2,0,0,0,0,0,Matches,dc64b8b3
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,1,10.00,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,25b82f9a
107,Jack Cork,eng ENG,MF,Burnley,31,1989,15.0,22,1.47,19,0,0,1,1,1,0,0.00,0,0,0,0,0,0,Matches,74e12f1e
108,Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,19,1.48,14,0,2,1,2,0,6,0.47,5,0,0,0,1,0,Matches,f13d02a6
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,82,2.42,61,13,1,2,3,2,10,0.29,10,0,0,0,0,0,Matches,fdf3cb77
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,104,2.95,52,44,1,5,2,0,14,0.40,6,5,0,2,1,0,Matches,4f974391
111,Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,1,3.60,0,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,a4fe8cda
112,Stuart Dallas,nir NIR,MFDF,Leeds United,29,1991,37.9,89,2.35,75,3,4,4,1,2,7,0.18,7,0,0,0,0,0,Matches,67ca8566
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,5,0.33,5,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,52105203
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,3,0.12,2,1,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,cde3309f
115,Ben Davies,wls WAL,DF,Tottenham,27,1993,15.0,18,1.20,12,1,1,0,2,2,4,0.27,2,0,1,0,1,0,Matches,44781702
116,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,26,1.65,24,0,1,0,1,0,2,0.13,2,0,0,0,0,0,Matches,9228b07c
117,Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,14,4.53,7,0,4,2,1,0,2,0.65,1,0,1,0,0,0,Matches,9deaf2c8
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,1,2.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,8574c61f
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,7,0.33,4,1,0,1,1,0,0,0.00,0,0,0,0,0,0,Matches,3e9e06cb
120,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,146,6.58,101,23,10,5,5,2,18,0.81,15,0,2,0,1,0,Matches,e46012d4
121,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,1,2.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,dd897ee7
122,Fabian Delph,eng ENG,MFDF,Everton,30,1989,3.0,4,1.35,2,1,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,111c3236
123,Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,46,1.65,39,0,0,4,1,2,6,0.22,4,0,0,2,0,0,Matches,5a7301ae
124,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,22,1.67,16,0,2,1,2,1,5,0.38,3,0,0,1,0,1,Matches,dda3969e
125,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,3,1.63,3,0,0,0,0,0,1,0.54,1,0,0,0,0,0,Matches,9dc96f10
126,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,19,1.68,15,0,2,1,0,1,1,0.09,1,0,0,0,0,0,Matches,11ff3d56
127,Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,26,1.89,15,2,0,3,5,1,1,0.07,0,1,0,0,0,0,Matches,f522d7ec
128,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,22,0.70,20,0,0,1,1,0,2,0.06,1,0,0,1,0,0,Matches,31c69ef1
129,Eric Dier,eng ENG,DF,Tottenham,26,1994,28.0,24,0.86,21,0,0,2,1,0,0,0.00,0,0,0,0,0,0,Matches,ac861941
130,Lucas Digne,fr FRA,DFMF,Everton,27,1993,29.8,76,2.55,52,18,0,5,1,0,12,0.40,7,3,0,2,0,0,Matches,1b84dbe1
131,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,4,0.26,4,0,0,0,0,0,1,0.07,1,0,0,0,0,0,Matches,a712ca2b
132,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,31,2.25,19,0,6,1,4,1,4,0.29,2,0,1,0,1,0,Matches,254147d4
133,Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,21,1.53,18,0,1,0,2,0,2,0.15,2,0,0,0,0,0,Matches,d557d734
134,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,13,0.59,8,1,1,3,0,0,0,0.00,0,0,0,0,0,0,Matches,67ac5bb8
135,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,50,1.84,42,1,2,2,0,3,7,0.26,7,0,0,0,0,0,Matches,02b29014
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,3a949a25
137,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,8,0.57,6,1,0,1,0,0,1,0.07,1,0,0,0,0,0,Matches,3fe6bd8c
138,Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,26,0.80,20,1,0,5,0,0,0,0.00,0,0,0,0,0,0,Matches,282f75f3
139,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3.0,3,1.00,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1fdfd6da
140,Ederson,br BRA,GK,Manchester City,26,1993,36.0,6,0.17,5,1,0,0,0,0,1,0.03,1,0,0,0,0,0,Matches,3bb7b8b4
141,Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,2,1.55,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,1566e437
142,John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,16,0.55,15,0,0,0,0,1,1,0.03,1,0,0,0,0,0,Matches,debe38a0
143,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,2,1.16,1,0,1,0,0,0,0,0.00,0,0,0,0,0,0,Matches,2fba6108
144,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,27,2.90,22,2,0,1,0,2,1,0.11,0,1,0,0,0,0,Matches,615ef733
145,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,19,1.11,16,1,0,2,0,0,1,0.06,1,0,0,0,0,0,Matches,47a34c4f
146,Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,19,0.69,19,0,0,0,0,0,4,0.15,4,0,0,0,0,0,Matches,f8fcd2a5
147,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,96,3.38,61,15,11,2,6,1,12,0.42,5,2,3,1,1,0,Matches,ae4fc6a4
148,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35.0,4,0.11,1,3,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,9328b835
149,Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,30,1.05,26,0,1,0,2,1,6,0.21,5,0,0,0,1,0,Matches,7f3b388c
150,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,184,5.34,136,21,3,14,9,1,25,0.73,22,1,0,2,0,0,Matches,507c7bdf
151,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,15,0.65,11,4,0,0,0,0,1,0.04,1,0,0,0,0,0,Matches,f25b010f
152,Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,31,2.35,26,0,3,0,0,2,3,0.23,2,0,0,0,0,1,Matches,101da2b5
153,Sam Field,eng ENG,MF,West Brom,22,1998,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,bd8a7d05
154,Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,111,3.52,84,1,13,11,2,0,10,0.32,9,0,0,1,0,0,Matches,4c370d81
155,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,28.6,72,2.52,51,15,2,2,2,0,3,0.10,2,1,0,0,0,0,Matches,b63e789d
156,Phil Foden,eng ENG,FWMF,Manchester City,20,2000,18.0,66,3.68,45,8,7,4,2,0,12,0.67,8,0,1,3,0,0,Matches,ed1e53f3
157,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,19,0.76,16,0,0,1,2,0,1,0.04,0,0,0,0,1,0,Matches,132a82f1
158,Pablo Fornals,es ESP,FWMF,West Ham,24,1996,28.6,79,2.77,67,3,2,7,0,0,11,0.39,7,1,0,3,0,0,Matches,82927de4
159,Fraser Forster,eng ENG,GK,Southampton,32,1988,8.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,c3e39f12
160,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,5,5.63,5,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a9142dc3
161,Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,6722d4f0
162,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,38,3.69,22,13,0,2,1,0,3,0.29,1,1,0,0,1,0,Matches,d56543a0
163,Fred,br BRA,MF,Manchester Utd,27,1993,26.6,78,2.94,71,1,2,1,2,1,7,0.26,7,0,0,0,0,0,Matches,b853e0ad
164,Ryan Fredericks,eng ENG,DFFW,West Ham,27,1992,6.3,21,3.32,16,0,2,1,1,1,0,0.00,0,0,0,0,0,0,Matches,c067631c
165,Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,4,0.51,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches,a67a09fb
166,Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,34,1.04,21,7,0,3,3,0,3,0.09,3,0,0,0,0,0,Matches,3ec9195b
167,Conor Gallagher,eng ENG,MF,West Brom,20,2000,28.1,45,1.60,29,7,3,1,4,1,2,0.07,1,1,0,0,0,0,Matches,c2731c10
168,Eric García,es ESP,DF,Manchester City,19,2001,4.3,2,0.47,1,0,0,0,1,0,0,0.00,0,0,0,0,0,0,Matches,2bed3eab
169,Dwight Gayle,eng ENG,FWMF,Newcastle Utd,29,1990,5.7,12,2.10,8,1,0,2,1,0,1,0.17,1,0,0,0,0,0,Matches,e58a03c6
