Rk,Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks,Matches,-9999
23,Daniel Amartey,gh GHA,DF,Leicester City,25,1994,8.0,493,453,38,2,0,0,1,36,0,0,0,0,414,2,8,Matches,1a4ef233
24,Ethan Ampadu,wls WAL,DFMF,Sheffield Utd,19,2000,23.2,1087,1002,83,18,0,15,19,60,5,5,0,0,870,2,14,Matches,10b9fa99
25,Joachim Andersen,dk DEN,DF,Fulham,24,1996,30.3,1993,1902,83,68,0,35,12,15,0,0,0,0,1609,8,13,Matches,e34fc66d
26,Elliot Anderson,sct SCO,MF,Newcastle Utd,17,2002,0.0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,Matches,de31038e
27,Felipe Anderson,br BRA,FWMF,West Ham,27,1993,0.0,5,5,0,0,0,0,0,0,0,0,0,0,3,0,0,Matches,9f1893b9
28,Michail Antonio,jm JAM,FW,West Ham,30,1990,21.9,494,481,11,1,0,3,31,8,0,0,0,0,316,2,20,Matches,ac05f970
29,Alphonse Areola,fr FRA,GK,Fulham,27,1993,36.0,1014,663,348,97,0,0,0,0,0,0,0,0,746,3,0,Matches,2f965a72
30,Stuart Armstrong,sct SCO,MF,Southampton,28,1992,30.7,1298,1203,89,14,2,4,40,16,2,0,0,0,1021,6,52,Matches,97333cf5
31,Kepa Arrizabalaga,es ESP,GK,Chelsea,25,1994,6.5,246,193,53,7,0,0,0,0,0,0,0,0,202,0,0,Matches,28d596a0
32,Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,31,1989,25.9,674,651,14,0,1,3,38,3,0,0,0,0,499,9,12,Matches,d5dd5f1f
33,Serge Aurier,ci CIV,DF,Tottenham,27,1992,17.8,980,823,157,4,1,1,35,153,0,0,0,0,772,0,32,Matches,5c2b4f07
34,Charlie Austin,eng ENG,FWMF,West Brom,31,1989,1.5,34,32,1,0,0,0,0,0,0,0,0,0,23,1,1,Matches,8d228291
35,Jordan Ayew,gh GHA,FWMF,Crystal Palace,28,1991,23.3,667,656,10,3,1,3,31,2,0,0,0,0,519,1,30,Matches,da052c14
36,Luke Ayling,eng ENG,DF,Leeds United,28,1991,37.8,2770,2407,355,56,4,50,82,299,0,0,0,0,2161,8,46,Matches,420d7c7d
37,César Azpilicueta,es ESP,DF,Chelsea,30,1989,24.3,2081,1892,185,32,3,0,37,153,0,0,0,0,1787,4,31,Matches,53cad200
38,Eric Bailly,ci CIV,DF,Manchester Utd,26,1994,10.2,564,552,11,10,0,1,0,1,0,0,0,0,497,1,3,Matches,a1232f4e
39,Fabián Balbuena,py PAR,DF,West Ham,28,1991,13.3,488,463,22,22,1,9,3,0,0,0,0,0,362,3,4,Matches,3626f7d9
40,George Baldock,gr GRE,DF,Sheffield Utd,27,1993,31.0,1153,954,197,5,1,1,62,192,0,0,0,0,888,2,47,Matches,394854c4
41,Gareth Bale,wls WAL,FW,Tottenham,31,1989,10.2,416,386,29,7,2,12,40,9,13,11,1,0,285,1,14,Matches,a58bb1e1
42,Patrick Bamford,eng ENG,FW,Leeds United,26,1993,33.9,516,422,90,1,2,0,3,0,2,0,0,0,394,4,14,Matches,93feac6e
43,Phil Bardsley,sct SCO,DF,Burnley,35,1985,3.0,162,119,41,0,0,0,10,41,0,0,0,0,104,2,5,Matches,1ae30132
44,Ross Barkley,eng ENG,MF,Aston Villa,26,1993,17.0,795,685,108,21,0,4,61,6,56,23,9,7,640,2,11,Matches,3a24769f
45,Ross Barkley,eng ENG,FWMF,Chelsea,26,1993,0.5,27,27,0,0,0,1,0,0,0,0,0,0,23,0,0,Matches,3a24769f
46,Ashley Barnes,eng ENG,FW,Burnley,30,1989,14.8,315,310,2,1,0,3,8,0,0,0,0,0,189,3,11,Matches,2691c772
47,Harvey Barnes,eng ENG,FWMF,Leicester City,22,1997,21.6,637,632,2,0,2,3,27,2,0,0,0,0,459,3,25,Matches,3ea50f67
48,Kyle Bartley,eng ENG,DF,West Brom,29,1991,28.7,842,805,34,23,0,7,1,11,0,0,0,0,647,3,5,Matches,18e96f64
49,Chris Basham,eng ENG,DFMF,Sheffield Utd,32,1988,28.6,1153,1071,80,10,0,4,25,69,0,0,0,0,939,2,16,Matches,1aa84968
50,Michy Batshuayi,be BEL,FW,Crystal Palace,26,1993,8.1,174,160,14,1,0,0,5,2,0,0,0,0,122,0,9,Matches,2973d8ff
51,Jan Bednarek,pl POL,DF,Southampton,24,1996,34.4,2115,2016,96,52,0,10,0,44,0,0,0,0,1734,3,12,Matches,4115ce4e
52,Donny van de Beek,nl NED,MFFW,Manchester Utd,23,1997,5.8,275,267,8,4,0,2,0,2,0,0,0,0,237,0,9,Matches,50dc94ce
53,Héctor Bellerín,es ESP,DFMF,Arsenal,25,1995,23.2,1324,1158,163,10,2,5,54,153,0,0,0,0,1080,3,32,Matches,f874dd44
54,Saïd Benrahma,dz ALG,FWMF,West Ham,24,1995,15.5,536,519,14,1,3,1,44,5,0,0,0,0,411,3,9,Matches,5a04fd92
55,Josh Benson,eng ENG,MF,Burnley,20,1999,2.9,85,83,2,1,0,0,5,1,0,0,0,0,62,0,4,Matches,bf3aeb61
56,Christian Benteke,be BEL,FW,Crystal Palace,29,1990,20.2,583,567,12,1,0,1,3,1,0,0,0,0,339,4,9,Matches,ab070c55
57,Gaetano Berardi,ch SUI,DF,Leeds United,31,1988,1.3,63,56,6,0,0,0,1,6,0,0,0,0,50,1,0,Matches,5348aada
58,Jóhann Berg Guðmundsson,is ISL,MF,Burnley,29,1990,15.1,473,465,5,0,1,3,31,2,3,3,0,0,355,3,4,Matches,f72293fc
59,Sander Berge,no NOR,MF,Sheffield Utd,22,1998,12.4,464,454,8,3,0,3,23,3,2,2,0,0,378,2,9,Matches,d0b6129f
60,Steven Bergwijn,nl NED,FWMF,Tottenham,22,1997,13.4,430,421,9,2,0,1,13,1,4,3,0,0,350,0,8,Matches,a29b1131
61,Bernard,br BRA,MFFW,Everton,27,1992,5.1,270,263,5,1,0,1,14,2,0,0,0,0,219,2,10,Matches,ab4b3e35
62,Bernardo,br BRA,DFMF,Brighton,25,1995,2.3,85,78,6,1,0,0,5,5,0,0,0,0,61,1,6,Matches,17370b95
63,Ryan Bertrand,eng ENG,DF,Southampton,30,1989,28.9,1569,1214,347,58,0,3,82,282,7,3,0,3,1186,8,34,Matches,01226327
64,Yves Bissouma,ml MLI,MF,Brighton,23,1996,34.6,1697,1661,35,31,2,10,7,4,0,0,0,0,1476,1,18,Matches,6c203af0
65,Jayden Bogle,eng ENG,DFMF,Sheffield Utd,20,2000,12.3,387,324,62,0,0,0,12,62,0,0,0,0,296,1,11,Matches,ae5019e6
66,Willy Boly,ci CIV,DF,Wolves,29,1991,20.9,1037,1019,17,17,0,1,0,0,0,0,0,0,855,1,9,Matches,a4ac4b8f
67,Jarrod Bowen,eng ENG,FWMF,West Ham,23,1996,28.5,752,666,80,5,5,9,122,4,59,54,0,1,493,6,36,Matches,79c84d1c
68,Robbie Brady,ie IRL,MF,Burnley,28,1992,11.7,403,385,17,6,2,5,43,8,3,2,0,0,257,1,12,Matches,96bb8cc2
69,Rhian Brewster,eng ENG,FWMF,Sheffield Utd,20,2000,12.5,225,212,11,0,2,3,16,0,0,0,0,0,157,2,6,Matches,30e81a88
70,Nathan Broadhead,wls WAL,FW,Everton,22,1998,0.0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,Matches,43309491
71,Josh Brownhill,eng ENG,MF,Burnley,24,1995,31.3,1198,1184,12,5,1,2,17,7,0,0,0,0,927,2,20,Matches,47369df8
72,Joe Bryan,eng ENG,DFMF,Fulham,26,1993,7.4,430,341,87,14,1,1,48,66,7,0,6,1,298,2,13,Matches,af69e7f0
73,Kean Bryan,eng ENG,DF,Sheffield Utd,23,1996,11.2,486,461,24,3,0,9,17,21,0,0,0,0,333,1,12,Matches,c684d3c9
74,Oliver Burke,sct SCO,FW,Sheffield Utd,23,1997,14.1,262,249,13,0,1,1,10,0,0,0,0,0,178,0,8,Matches,f631c17f
75,Dan Burn,eng ENG,DF,Brighton,28,1992,22.9,1280,1125,151,12,0,8,37,139,0,0,0,0,954,4,24,Matches,b2d31e83
76,Jack Butland,eng ENG,GK,Crystal Palace,27,1993,1.0,22,11,10,2,0,0,0,0,0,0,0,0,6,1,0,Matches,cc70a1d5
77,David Button,eng ENG,GK,West Brom,31,1989,1.0,37,21,16,4,0,0,0,0,0,0,0,0,18,0,0,Matches,e608ed4c
78,Oskar Buur,dk DEN,DF,Wolves,22,1998,0.2,15,14,1,0,0,0,0,1,0,0,0,0,14,0,0,Matches,aa6f2f2c
79,Willy Caballero,ar ARG,GK,Chelsea,38,1981,1.0,26,19,7,1,0,0,0,0,0,0,0,0,24,0,0,Matches,a179d516
80,Gary Cahill,eng ENG,DF,Crystal Palace,34,1985,20.0,748,720,27,26,0,3,0,1,0,0,0,0,615,1,3,Matches,7914b9fe
81,Tom Cairney,sct SCO,MF,Fulham,29,1991,8.4,632,593,38,20,1,7,37,0,16,3,10,1,560,1,6,Matches,a8748947
82,Dominic Calvert-Lewin,eng ENG,FW,Everton,23,1997,31.9,691,681,5,0,1,2,9,2,1,0,0,0,469,5,22,Matches,59e6e5bf
83,João Cancelo,pt POR,DFMF,Manchester City,26,1994,25.5,2128,1882,239,44,6,12,72,195,0,0,0,0,1815,7,27,Matches,bd6351cd
84,Ian Carlo Poveda,eng ENG,MF,Leeds United,20,2000,3.9,120,120,0,0,0,0,9,0,0,0,0,0,86,0,3,Matches,55b4f1d6
85,Andy Carroll,eng ENG,FW,Newcastle Utd,31,1989,4.4,139,130,7,1,0,2,0,1,0,0,0,0,85,2,1,Matches,b581987a
86,Scott Carson,eng ENG,GK,Manchester City,34,1985,1.0,16,14,2,0,0,0,0,0,0,0,0,0,15,0,0,Matches,3e1550ee
87,Fabio Carvalho,pt POR,MFFW,Fulham,17,2002,2.8,89,84,5,0,0,0,4,0,0,0,0,0,67,0,7,Matches,966e28d0
88,Matty Cash,pl POL,DF,Aston Villa,22,1997,26.4,1320,1055,261,34,0,9,81,227,0,0,0,0,959,4,16,Matches,2389cdc2
89,Kiko Casilla,es ESP,GK,Leeds United,33,1986,3.0,98,60,38,7,0,0,0,0,0,0,0,0,87,0,0,Matches,58bc7d18
90,Timothy Castagne,be BEL,DF,Leicester City,24,1995,26.1,1545,1361,178,10,0,1,46,168,0,0,0,0,1284,6,30,Matches,197640fd
91,Jonny Castro,es ESP,MFDF,Wolves,26,1994,5.5,243,187,56,4,0,1,9,52,0,0,0,0,185,0,7,Matches,e28868f3
92,Ivan Cavaleiro,pt POR,FW,Fulham,26,1993,27.5,857,770,85,26,0,4,122,9,42,15,24,2,589,2,26,Matches,979b811d
93,Edinson Cavani,uy URU,FW,Manchester Utd,33,1987,15.3,343,333,10,0,2,2,4,3,0,0,0,0,264,0,11,Matches,527f063d
94,Dani Ceballos,es ESP,MF,Arsenal,23,1996,17.9,1310,1258,51,26,7,11,29,8,17,8,6,0,1126,1,24,Matches,c0617e2b
95,Calum Chambers,eng ENG,DF,Arsenal,25,1995,8.4,593,504,88,8,2,3,33,80,0,0,0,0,466,1,5,Matches,dc6f5bdd
96,Ben Chilwell,eng ENG,DF,Chelsea,23,1996,25.4,1839,1535,297,38,0,5,136,227,32,18,12,0,1431,7,47,Matches,d2424d1b
97,Hamza Choudhury,eng ENG,MF,Leicester City,22,1997,3.5,239,234,4,2,0,3,1,2,0,0,0,0,192,1,2,Matches,7d2d3329
98,Andreas Christensen,dk DEN,DF,Chelsea,24,1996,15.2,1149,1117,29,24,1,4,0,5,0,0,0,0,1046,3,5,Matches,1cb49278
99,Carney Chukwuemeka,eng ENG,MFFW,Aston Villa,16,2003,0.2,9,9,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,b2f9c73e
100,Ciaran Clark,ie IRL,DF,Newcastle Utd,30,1989,21.0,808,786,21,4,0,0,0,17,0,0,0,0,657,1,4,Matches,2b91cf8e
101,Nathaniel Clyne,eng ENG,DF,Crystal Palace,29,1991,12.7,593,466,125,0,0,1,23,125,0,0,0,0,448,2,21,Matches,0442183b
102,Conor Coady,eng ENG,DF,Wolves,27,1993,36.7,1865,1799,62,56,0,14,0,4,0,0,0,0,1638,4,7,Matches,2928dca2
103,Séamus Coleman,ie IRL,DFMF,Everton,31,1988,17.9,765,678,85,2,0,7,35,83,0,0,0,0,620,2,18,Matches,0420d84f
104,Aaron Connolly,ie IRL,FW,Brighton,20,2000,8.8,94,89,5,0,0,0,2,0,0,0,0,0,72,0,1,Matches,27c01749
105,Liam Cooper,sct SCO,DF,Leeds United,28,1991,24.3,1662,1604,49,46,0,21,0,3,0,0,0,0,1415,9,6,Matches,dc64b8b3
106,Theo Corbeanu,ca CAN,FW,Wolves,18,2002,0.1,3,3,0,0,0,0,1,0,0,0,0,0,3,0,0,Matches,25b82f9a
107,Jack Cork,eng ENG,MF,Burnley,31,1989,15.0,511,505,4,0,0,3,5,4,0,0,0,0,424,2,11,Matches,74e12f1e
108,Hélder Costa,ao ANG,MFFW,Leeds United,26,1994,12.8,331,324,7,0,1,0,21,7,0,0,0,0,242,0,17,Matches,f13d02a6
109,Vladimír Coufal,cz CZE,DF,West Ham,27,1992,33.9,1746,1384,356,27,0,1,132,329,0,0,0,0,1196,6,73,Matches,fdf3cb77
110,Aaron Cresswell,eng ENG,DF,West Ham,30,1989,35.2,2141,1671,447,101,2,20,207,259,87,27,56,0,1586,23,44,Matches,4f974391
111,Patrick Cutrone,it ITA,FW,Wolves,22,1998,0.3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches,a4fe8cda
112,Stuart Dallas,nir NIR,MFDF,Leeds United,29,1991,37.9,2235,2005,223,22,3,17,82,185,16,14,0,0,1830,7,39,Matches,67ca8566
113,Scott Dann,eng ENG,DF,Crystal Palace,33,1987,15.0,644,608,35,32,0,1,0,3,0,0,0,0,521,1,2,Matches,52105203
114,Karl Darlow,eng ENG,GK,Newcastle Utd,29,1990,25.0,728,395,325,109,0,2,0,0,0,0,0,0,376,8,0,Matches,cde3309f
115,Ben Davies,wls WAL,DF,Tottenham,27,1993,15.0,817,665,150,12,0,2,33,137,1,1,0,0,627,2,21,Matches,44781702
116,Tom Davies,eng ENG,MF,Everton,22,1998,15.8,706,696,9,5,1,1,5,3,0,0,0,0,572,1,24,Matches,9228b07c
117,Keinan Davis,eng ENG,FWMF,Aston Villa,22,1998,3.1,77,76,1,0,0,1,4,0,0,0,0,0,55,0,5,Matches,9deaf2c8
118,Leif Davis,eng ENG,DF,Leeds United,20,2000,0.4,19,19,0,0,0,1,0,0,0,0,0,0,17,0,0,Matches,8574c61f
119,Craig Dawson,eng ENG,DF,West Ham,30,1990,21.4,767,741,25,22,0,8,0,2,0,0,0,0,611,1,6,Matches,3e9e06cb
120,Kevin De Bruyne,be BEL,MF,Manchester City,29,1991,22.2,1429,1278,139,42,13,12,146,6,87,28,33,3,1078,12,39,Matches,e46012d4
121,Liam Delap,eng ENG,FW,Manchester City,17,2003,0.4,6,2,4,0,0,0,0,0,0,0,0,0,5,0,0,Matches,dd897ee7
122,Fabian Delph,eng ENG,MFDF,Everton,30,1989,3.0,233,223,10,1,0,1,7,9,0,0,0,0,204,0,3,Matches,111c3236
123,Leander Dendoncker,be BEL,MFDF,Wolves,25,1995,27.8,1212,1194,18,17,1,15,8,1,0,0,0,0,1032,0,16,Matches,5a7301ae
124,Mbaye Diagne,sn SEN,FW,West Brom,28,1991,13.2,241,239,1,0,0,2,4,1,0,0,0,0,149,1,3,Matches,dda3969e
125,Amad Diallo,ci CIV,FW,Manchester Utd,18,2002,1.8,64,63,0,0,1,0,0,0,0,0,0,0,52,1,2,Matches,9dc96f10
126,Ibrahima Diallo,fr FRA,MF,Southampton,21,1999,11.3,600,586,11,9,0,2,7,2,0,0,0,0,503,3,4,Matches,11ff3d56
127,Grady Diangana,eng ENG,MFFW,West Brom,22,1998,13.7,360,347,11,2,1,2,20,2,4,2,0,1,260,2,14,Matches,f522d7ec
128,Rúben Dias,pt POR,DF,Manchester City,23,1997,31.6,2722,2665,52,46,1,5,2,2,0,0,0,0,2531,5,10,Matches,31c69ef1
129,Eric Dier,eng ENG,DF,Tottenham,26,1994,28.0,1802,1757,43,37,1,21,5,6,0,0,0,0,1493,2,13,Matches,ac861941
130,Lucas Digne,fr FRA,DFMF,Everton,27,1993,29.8,1736,1373,355,64,0,8,215,247,44,23,17,1,1231,8,52,Matches,1b84dbe1
131,Issa Diop,fr FRA,DF,West Ham,23,1997,15.3,585,572,12,11,0,0,0,1,0,0,0,0,480,1,5,Matches,a712ca2b
132,Moussa Djenepo,ml MLI,MF,Southampton,22,1998,13.8,407,386,19,3,0,1,9,14,0,0,0,0,290,2,20,Matches,254147d4
133,Matt Doherty,ie IRL,DF,Tottenham,28,1992,13.8,841,700,139,7,0,4,31,132,0,0,0,0,657,2,20,Matches,d557d734
134,Gabriel Dos Santos,br BRA,DF,Arsenal,22,1997,22.2,1559,1526,28,26,1,6,2,2,0,0,0,0,1332,5,10,Matches,67ac5bb8
135,Abdoulaye Doucouré,ml MLI,MF,Everton,27,1993,27.1,1354,1339,11,10,3,4,9,0,1,0,0,0,1141,4,28,Matches,02b29014
136,Martin Dúbravka,sk SVK,GK,Newcastle Utd,31,1989,13.0,438,272,166,44,0,4,0,0,0,0,0,0,322,0,1,Matches,3a949a25
137,Paul Dummett,wls WAL,DF,Newcastle Utd,28,1991,13.9,575,516,54,12,0,1,10,42,0,0,0,0,423,5,7,Matches,3fe6bd8c
138,Lewis Dunk,eng ENG,DF,Brighton,28,1991,32.6,2240,2153,83,71,0,22,1,12,0,0,0,0,2000,4,4,Matches,282f75f3
139,Jimmy Dunne,ie IRL,DF,Burnley,22,1997,3.0,153,153,0,0,0,0,0,0,0,0,0,0,105,0,1,Matches,1fdfd6da
140,Ederson,br BRA,GK,Manchester City,26,1993,36.0,1122,897,223,70,0,5,0,0,0,0,0,0,939,2,1,Matches,3bb7b8b4
141,Kyle Edwards,eng ENG,MFFW,West Brom,22,1998,1.3,35,35,0,0,0,0,1,0,0,0,0,0,31,0,1,Matches,1566e437
142,John Egan,ie IRL,DF,Sheffield Utd,27,1992,29.2,1135,1109,22,18,0,6,4,4,0,0,0,0,923,4,5,Matches,debe38a0
143,Anthony Elanga,se SWE,FW,Manchester Utd,18,2002,1.7,55,54,1,0,0,1,2,0,0,0,0,0,41,0,2,Matches,2fba6108
144,Ahmed Elmohamady,eg EGY,DF,Aston Villa,32,1987,9.3,618,491,126,18,0,4,39,108,0,0,0,0,468,1,6,Matches,615ef733
145,Mohamed Elneny,eg EGY,MF,Arsenal,28,1992,17.2,1019,995,21,17,0,6,2,4,0,0,0,0,944,3,7,Matches,47a34c4f
146,Jonny Evans,nir NIR,DF,Leicester City,32,1988,27.5,1854,1814,38,36,1,4,0,2,0,0,0,0,1592,2,5,Matches,f8fcd2a5
147,Eberechi Eze,eng ENG,MF,Crystal Palace,22,1998,28.4,1188,1046,134,36,1,4,86,6,63,26,13,9,945,8,25,Matches,ae4fc6a4
148,Łukasz Fabiański,pl POL,GK,West Ham,35,1985,35.0,1015,633,377,105,0,1,0,0,0,0,0,0,622,5,0,Matches,9328b835
149,Fabinho,br BRA,DFMF,Liverpool,26,1993,28.5,2117,2080,36,29,0,6,1,7,0,0,0,0,1910,1,5,Matches,7f3b388c
150,Bruno Fernandes,pt POR,MF,Manchester Utd,25,1994,34.4,2339,2098,220,63,12,43,166,40,59,27,21,2,1734,21,68,Matches,507c7bdf
151,Federico Fernández,ar ARG,DF,Newcastle Utd,31,1989,23.1,894,814,76,33,0,13,13,43,0,0,0,0,715,4,9,Matches,f25b010f
152,Fernandinho,br BRA,MF,Manchester City,35,1985,13.2,1026,1002,22,18,1,12,6,4,0,0,0,0,889,2,9,Matches,101da2b5
153,Sam Field,eng ENG,MF,West Brom,22,1998,0.7,25,24,0,0,0,0,0,0,0,0,0,0,15,1,0,Matches,bd8a7d05
154,Roberto Firmino,br BRA,FW,Liverpool,28,1991,31.5,1333,1287,44,4,5,1,14,16,2,0,0,0,1065,2,29,Matches,4c370d81
155,John Fleck,sct SCO,MF,Sheffield Utd,28,1991,28.6,1245,1122,119,31,2,5,96,6,61,39,9,4,971,4,29,Matches,b63e789d
156,Phil Foden,eng ENG,FWMF,Manchester City,20,2000,18.0,845,778,63,3,2,2,74,5,49,9,28,1,689,4,17,Matches,ed1e53f3
157,Wesley Fofana,fr FRA,DF,Leicester City,19,2000,25.1,1740,1649,89,41,1,12,2,48,0,0,0,0,1501,2,8,Matches,132a82f1
158,Pablo Fornals,es ESP,FWMF,West Ham,24,1996,28.6,1118,1083,28,5,1,5,45,7,2,0,1,0,853,7,38,Matches,82927de4
159,Fraser Forster,eng ENG,GK,Southampton,32,1988,8.0,273,170,101,37,0,0,0,0,0,0,0,0,154,2,1,Matches,c3e39f12
160,Timothy Fosu-Mensah,nl NED,DF,Manchester Utd,22,1998,0.9,74,70,4,0,0,0,4,4,0,0,0,0,64,0,1,Matches,a9142dc3
161,Tyrese Francois,au AUS,DF,Fulham,20,2000,0.2,15,13,2,0,0,0,0,2,0,0,0,0,14,0,0,Matches,6722d4f0
162,Ryan Fraser,sct SCO,FWMF,Newcastle Utd,26,1994,10.3,372,308,64,10,0,1,103,7,45,14,26,0,240,0,16,Matches,d56543a0
163,Fred,br BRA,MF,Manchester Utd,27,1993,26.6,1828,1765,58,50,5,15,9,8,0,0,0,0,1590,5,41,Matches,b853e0ad
164,Ryan Fredericks,eng ENG,DFFW,West Ham,27,1992,6.3,282,246,36,3,1,0,23,33,0,0,0,0,205,0,10,Matches,c067631c
165,Christian Fuchs,at AUT,DF,Leicester City,34,1986,7.8,597,519,77,16,0,1,11,61,0,0,0,0,476,1,9,Matches,a67a09fb
166,Darnell Furlong,eng ENG,DF,West Brom,24,1995,32.6,1204,900,295,15,0,3,99,280,0,0,0,0,682,9,33,Matches,3ec9195b
167,Conor Gallagher,eng ENG,MF,West Brom,20,2000,28.1,960,897,60,15,1,6,66,1,27,18,3,1,737,3,20,Matches,c2731c10
168,Eric García,es ESP,DF,Manchester City,19,2001,4.3,342,337,4,2,1,1,0,2,0,0,0,0,325,1,0,Matches,2bed3eab
169,Dwight Gayle,eng ENG,FWMF,Newcastle Utd,29,1990,5.7,118,103,14,0,1,0,5,4,0,0,0,0,96,1,3,Matches,e58a03c6
170,Jean-Philippe Gbamin,ci CIV,MF,Everton,24,1995,0.1,9,9,0,0,0,0,0,0,0,0,0,0,6,0,1,Matches,6bd603db
171,David de Gea,es ESP,GK,Manchester Utd,29,1990,25.5,592,382,207,35,0,0,0,0,0,0,0,0,464,3,0,Matches,7ba6d84e
172,Anwar El Ghazi,nl NED,FW,Aston Villa,25,1995,17.9,628,578,48,11,0,3,87,16,21,15,5,1,432,2,32,Matches,ffa90327
173,Kieran Gibbs,eng ENG,DF,West Brom,30,1989,9.0,313,273,38,2,0,0,11,36,0,0,0,0,222,2,3,Matches,46ee5234
174,Morgan Gibbs-White,eng ENG,MFFW,Wolves,20,2000,4.6,236,229,7,3,0,2,11,3,1,0,1,0,193,0,4,Matches,32f60ed8
175,Billy Gilmour,sct SCO,MF,Chelsea,19,2001,2.9,228,224,3,3,1,4,2,0,0,0,0,0,198,1,3,Matches,df10e27c
176,Olivier Giroud,fr FRA,FW,Chelsea,33,1986,8.3,223,217,6,0,0,0,2,2,0,0,0,0,157,0,7,Matches,16ceb862
177,Ben Godfrey,eng ENG,DF,Everton,22,1998,29.8,1329,1211,117,10,1,4,6,103,0,0,0,0,1109,1,25,Matches,9f7c837d
178,André Gomes,pt POR,MF,Everton,27,1993,17.4,908,887,14,8,2,16,23,2,3,2,0,0,752,7,11,Matches,1961b2aa
179,Joe Gomez,eng ENG,DF,Liverpool,23,1997,6.6,558,543,14,13,0,9,0,1,0,0,0,0,500,1,1,Matches,7a11550b
180,Anthony Gordon,eng ENG,FWMF,Everton,19,2001,1.0,27,25,2,1,0,0,1,1,0,0,0,0,22,0,0,Matches,2bd83368
